X,Y,Z
15.810032,-5.0025005,36.22181
15.810032,-5.0025005,36.22181
15.810032,-5.0108337,36.22181
15.810038,-5.002371,36.221813
15.810038,-5.002498,36.221813
16.258854,-5.0025005,36.670555
16.432568,-5.0025,36.84427
17.26442,-5.0025005,37.67613
18.674221,-5.0062265,39.08627
20.088299,-5.0033865,40.5003
21.502695,-5.0027113,41.914646
22.916904,-5.00255,43.3288
24.331043,-5.002512,44.74288
25.745106,-5.002503,46.156887
25.784378,-5.002502,46.19616
25.784378,-5.002502,46.19616
25.83459,-5.0025005,48.159317
25.885494,-5.0025005,50.144028
25.936163,-5.0025005,52.12606
25.986824,-5.0025005,54.107914
26.037483,-5.0025005,56.089947
26.048796,-5.0025,56.532425
26.049793,-5.0025005,56.571384
26.049793,-5.0025005,56.571384
26.049791,-5.0025005,56.571358
26.049791,-5.0025005,56.571358
26.049791,-5.0025005,56.571358
26.049791,-5.0025005,56.571358
26.049791,-5.0025005,56.571358
26.049791,-5.0025005,56.571358
26.049791,-5.0025005,56.571358
26.049791,-5.0025005,56.571358
26.049791,-5.0025005,56.571358
26.049791,-5.0025005,56.571358
26.049791,-5.0025005,56.571358
26.049791,-5.0025005,56.571358
26.056973,-5.0025005,55.10037
26.057892,-5.0025,54.911407
26.058084,-5.0025005,54.87201
26.058084,-5.0025005,54.87201
26.058084,-5.0025005,54.87201
26.058084,-5.0025005,54.87201
26.058084,-5.0025005,54.87201
26.058084,-5.0025005,54.87201
26.058084,-5.0025005,54.87201
26.058084,-5.0025005,54.87201
26.058084,-5.0025005,54.87201
26.058084,-5.0025005,54.87201
26.058084,-5.0025005,54.87201
26.058084,-5.0025005,54.87201
26.058084,-5.0025005,54.87201
26.058084,-5.0025005,54.872036
26.058084,-5.0025005,54.872036
26.058084,-5.0025005,54.872036
24.93744,-5.0025005,54.946655
24.93744,-5.0025005,54.946655
23.560873,-5.0025005,56.064835
23.413988,-5.0025005,56.18419
23.381653,-5.0025005,56.21046
23.381653,-5.0025005,56.21046
23.381653,-5.002613,56.21046
23.300999,-5.0025005,57.904488
23.207188,-5.0025,59.877304
23.113047,-5.0025005,61.857018
23.075523,-5.0025,62.646046
23.075523,-5.0025,62.646046
23.075525,-5.0025005,62.646004
23.075525,-5.0025005,62.646004
23.075525,-5.0025005,62.646004
23.075525,-5.0025005,62.646004
23.075525,-5.0025005,62.646004
23.075525,-5.0025005,62.646004
23.075525,-5.0025005,62.646004
23.075525,-5.0025005,62.646004
23.075525,-5.0025005,62.646004
23.075525,-5.0025005,62.646004
23.075525,-5.0025005,62.646004
23.075525,-5.0025005,62.646004
23.075525,-5.0025005,62.646004
23.075525,-5.0025005,62.646004
23.063557,-5.0023456,62.1008
23.021507,-4.572481,60.87268
22.978352,-3.5162318,59.31438
22.986113,-2.358407,58.64408
23.00074,-1.9667034,58.629562
23.044523,-1.4287496,58.97184
23.06355,-1.3371625,59.19293
23.078209,-1.2821171,59.376568
23.089104,-1.2562432,59.532265
23.096558,-1.2535319,59.667103
23.100569,-1.2690771,59.7863
23.100584,-1.298893,59.89362
23.095413,-1.3374505,59.988956
23.08209,-1.3802207,60.063236
23.064148,-1.4261146,60.10861
23.049047,-1.4742439,60.128418
23.038145,-1.523936,60.129044
23.031513,-1.5747225,60.115482
23.028913,-1.6263025,60.0915
23.030106,-1.6785009,60.059944
23.035002,-1.7312298,60.023003
23.043974,-1.7844474,59.982563
