X,Y,Z
15.810032,-5.0025005,36.22181
15.810032,-5.0025005,36.22181
15.810032,-5.019167,36.22181
15.810038,-5.002371,36.221813
15.810038,-5.002498,36.221813
16.258854,-5.0025005,36.670555
16.432568,-5.0025,36.84427
17.37751,-5.0025005,37.78922
18.789272,-5.0044765,39.20111
20.203608,-5.00297,40.61544
21.617785,-5.002612,42.029606
23.03178,-5.0025268,43.443592
24.446035,-5.0025067,44.857826
25.789434,-5.002502,46.20121
25.789434,-5.002502,46.20121
25.839182,-5.0025005,48.181076
25.88906,-5.0025005,50.16298
25.938755,-5.0025005,52.1422
25.988451,-5.0025005,54.12137
26.03815,-5.0025005,56.100754
26.048006,-5.0025005,56.492954
26.049053,-5.0025,56.534603
26.049833,-5.0025005,56.56566
26.049833,-5.0025005,56.56566
26.049831,-5.0025005,56.56563
26.049831,-5.0025005,56.56563
26.049831,-5.0025005,56.56563
26.049831,-5.0025005,56.56563
26.049831,-5.0025005,56.56563
26.049831,-5.0025005,56.56563
26.049831,-5.0079503,56.56563
26.049831,-5.0079503,56.56563
26.049831,-5.004781,56.56563
26.049831,-5.004781,56.56563
26.049831,-5.004781,56.56563
26.049831,-5.004781,56.56563
26.05212,-5.0028086,56.432327
26.052835,-5.0026946,56.390675
26.052835,-5.0026946,56.390675
26.058043,-5.0025306,55.002125
26.058199,-5.0025196,54.960487
26.058325,-5.0025125,54.926975
26.058418,-5.0025077,54.902054
26.058418,-5.0025077,54.902054
26.058418,-5.0025077,54.902054
26.058418,-5.0025077,54.902054
26.058418,-5.0025077,54.902054
26.058418,-5.0025077,54.902054
26.058418,-5.0025077,54.902054
26.058418,-5.0025077,54.902054
26.058418,-5.0025077,54.902054
26.058418,-5.0025077,54.902054
26.058418,-5.0025077,54.902054
26.058418,-5.0025077,54.902054
26.058418,-5.0025077,54.902054
26.058418,-5.0025077,54.902054
26.226934,-5.0025005,54.757515
26.269104,-5.0025005,54.721344
26.269104,-5.0025005,54.721344
27.888525,-5.0025005,54.54493
28.076677,-5.0025005,54.52444
28.118097,-5.0025005,54.51993
28.148558,-5.0025005,54.516613
28.148558,-5.0025005,54.516613
28.148531,-5.0025005,54.516617
28.148531,-5.0025005,54.516617
28.148531,-5.0025005,54.516617
28.148531,-5.0025005,54.516617
28.148531,-5.0025005,54.516617
28.148531,-5.0025005,54.516617
28.148531,-5.0025005,54.516617
28.148531,-5.0025005,54.516617
28.148531,-5.0025005,54.516617
28.148531,-5.0025005,54.516617
28.148531,-5.0025005,54.516617
28.240149,-5.0025005,54.61773
28.271803,-5.0025005,54.652763
28.271803,-5.0025005,54.652763
28.271803,-5.0025005,54.652763
29.973482,-5.0025005,54.89004
30.268353,-5.0025005,54.93115
30.268353,-5.0025005,54.93115
31.184038,-5.0025,55.668888
31.214622,-5.0025005,55.69353
31.238392,-5.0025005,55.71268
31.238392,-5.0025005,55.71268
31.367033,-5.0025,57.415985
31.516024,-5.0096087,59.391495
31.531137,-5.0067563,59.590797
31.531137,-5.0067563,59.590797
31.531136,-5.003369,59.590786
31.531136,-5.0027537,59.590786
31.531136,-5.0025826,59.590786
31.531136,-5.0025244,59.590786
31.531136,-5.0025153,59.590786
31.531136,-5.0025067,59.590786
31.531136,-5.0025067,59.590786
31.531136,-5.0025067,59.590786
31.531136,-5.0025067,59.590786
31.531136,-5.0025067,59.590786
31.531136,-5.0025067,59.590786
31.531136,-5.0025067,59.590786
