X,Y,Z
15.810032,-5.0025005,36.22181
15.810032,-5.0025005,36.22181
15.810032,-5.0025005,36.22181
15.810032,-5.0108337,36.22181
15.810038,-5.002498,36.221813
16.258856,-5.0025005,36.670555
17.287663,-5.0025005,37.699368
18.872627,-5.0058565,39.2847
20.286716,-5.0032983,40.698734
21.70091,-5.00269,42.11287
23.11512,-5.0025454,43.527023
24.529388,-5.002511,44.941235
25.802046,-5.002503,46.213837
25.802046,-5.002503,46.213837
25.849714,-5.002501,48.193943
25.897356,-5.0025005,50.183277
25.944784,-5.0025005,52.162548
25.992214,-5.0025005,54.14182
26.039577,-5.0025005,56.11833
26.048985,-5.0025005,56.51092
26.049984,-5.0025,56.55257
26.049984,-5.0025,56.55257
26.049984,-5.0025,56.55257
26.049984,-5.0025,56.55257
26.049984,-5.0025,56.55257
26.049984,-5.0025,56.55257
26.049984,-5.0025,56.55257
26.049984,-5.0025,56.55257
26.049984,-5.0025,56.55257
26.049984,-5.0025,56.55257
26.049984,-5.0025,56.55257
26.049984,-5.0025,56.55257
26.049984,-5.0025,56.55257
26.049984,-5.0025,56.55257
26.057169,-5.002504,55.06383
26.057842,-5.002502,54.92498
26.05803,-5.0025015,54.8861
26.05803,-5.0025015,54.8861
26.05803,-5.0025015,54.8861
26.05803,-5.0025015,54.8861
26.05803,-5.0025015,54.8861
26.05803,-5.0025015,54.8861
26.05803,-5.0025015,54.8861
26.05803,-5.0025015,54.8861
26.05803,-5.0025015,54.8861
26.05803,-5.0025015,54.8861
26.05803,-5.0025015,54.8861
26.05803,-5.0025015,54.8861
26.05803,-5.0025015,54.8861
26.05803,-5.0025015,54.8861
26.227482,-5.0025005,54.746136
26.227482,-5.0025005,54.746136
27.881666,-5.0025005,54.551605
28.119293,-5.0025005,54.523655
28.158,-5.0025005,54.519104
28.158,-5.0025005,54.519104
28.157972,-5.0025005,54.519108
28.157972,-5.0025005,54.519108
28.157972,-5.0025005,54.519108
28.157972,-5.0025005,54.519108
28.157972,-5.0025005,54.519108
28.157972,-5.0079503,54.519108
28.157972,-5.0079503,54.519108
28.157972,-5.0047812,54.519108
28.157972,-5.0047812,54.519108
28.157972,-5.0047812,54.519108
28.157972,-5.0047812,54.519108
28.25019,-5.002942,54.62294
28.281544,-5.0027785,54.65824
28.281544,-5.0027785,54.65824
28.281542,-5.0025816,54.65824
29.998793,-5.002517,54.89451
30.196793,-5.0025105,54.92178
30.196793,-5.0025105,54.92178
31.20687,-5.002502,55.699715
31.239868,-5.0025015,55.725136
31.239868,-5.0025015,55.725136
31.369963,-5.003798,57.45034
31.520294,-5.0031033,59.444565
31.524467,-5.002861,59.499954
31.528643,-5.0027165,59.555344
31.528643,-5.0027165,59.555344
31.528643,-5.0025406,59.555344
31.528643,-5.002513,59.555344
31.528643,-5.002505,59.555344
31.528643,-5.002505,59.555344
31.528643,-5.002505,59.555344
31.528643,-5.002505,59.555344
31.528643,-5.002505,59.555344
31.528643,-5.002505,59.555344
31.528643,-5.002505,59.555344
31.528643,-5.002505,59.555344
31.528643,-5.002505,59.555344
31.528643,-5.002505,59.555344
31.528643,-5.002505,59.555344
31.5472,-5.0053697,61.278492
31.555305,-5.002552,62.030235
31.55575,-5.002533,62.07174
31.55575,-5.002533,62.07174
31.55575,-5.002533,62.07174
31.55575,-5.002533,62.07174
31.55575,-5.002533,62.07174
31.55575,-5.002533,62.07174
31.55575,-5.002533,62.07174
