X,Y,Z
15.810032,-5.0025005,36.22181
15.810032,-5.0025005,36.22181
15.810032,-5.0025005,36.22181
15.810032,-5.0025005,36.22181
15.810038,-5.002498,36.221813
16.258856,-5.0025005,36.670555
17.316126,-5.0025005,37.72783
19.028442,-5.0025005,39.440228
20.42849,-5.0025005,40.840275
21.8253,-5.0025,42.237083
23.223759,-5.0025005,43.635544
24.623716,-5.0025005,45.0355
25.823412,-5.0025525,46.23518
25.823412,-5.0025525,46.23518
25.880283,-5.0025086,48.214886
25.937912,-5.0025024,50.214077
25.995247,-5.0025005,52.213203
26.043907,-5.0025005,53.910534
26.04654,-5.0025,54.00216
26.047667,-5.0025005,54.041416
26.047667,-5.0025005,54.041416
26.047667,-5.0025005,54.04139
26.047667,-5.0025005,54.04139
26.047667,-5.0025005,54.04139
26.047667,-5.0025005,54.04139
26.047667,-5.0025005,54.04139
26.047667,-5.0025005,54.04139
26.047667,-5.0025005,54.04139
26.047667,-5.0025005,54.04139
26.047667,-5.0025005,54.04139
26.047667,-5.0025005,54.04139
26.047667,-5.0025005,54.04139
26.047667,-5.0025005,54.04139
26.047667,-5.0025005,54.04139
25.30101,-5.0025005,54.744766
25.30101,-5.0025005,54.744766
24.843788,-5.0025,54.884968
24.843788,-5.0025,54.884968
24.843828,-5.0025005,54.884956
23.443357,-5.0025005,56.130806
23.401852,-5.0025,56.16773
23.360182,-5.0025005,56.2048
23.360182,-5.0025005,56.2048
23.20631,-5.00624,58.134163
23.094776,-5.0034857,59.535404
23.09147,-5.0031214,59.576923
23.09147,-5.0031214,59.576923
23.09147,-5.002664,59.57692
23.09147,-5.002548,59.57692
23.09147,-5.0025215,59.57692
23.09147,-5.0025043,59.57692
23.09147,-5.0025043,59.57692
23.09147,-5.0025043,59.57692
23.09147,-5.0025043,59.57692
23.09147,-5.0025043,59.57692
23.09147,-5.0025043,59.57692
23.09147,-5.0025043,59.57692
23.09147,-5.0025043,59.57692
23.09147,-5.0025043,59.57692
23.09147,-5.0025043,59.57692
23.09147,-5.0025043,59.57692
23.09147,-5.0025043,59.57692
23.09147,-5.0025043,59.57692
23.072857,-5.0025005,61.290035
23.064854,-5.0025,62.027508
23.064428,-5.0025005,62.066784
23.064428,-5.0025005,62.066784
23.064428,-5.0025005,62.066784
23.064428,-5.0025005,62.066784
23.064428,-5.0079503,62.066753
23.064428,-5.0079503,62.066753
23.064428,-5.0047812,62.066753
23.064428,-5.0047812,62.066753
23.064428,-5.0047812,62.066753
23.064428,-5.0047812,62.066753
23.23648,-5.002825,62.20737
23.23648,-5.002825,62.20737
23.806288,-5.00259,62.73627
23.806288,-5.00259,62.73627
23.806288,-5.0025244,62.73627
23.806288,-5.002515,62.73627
24.013727,-5.002504,64.15443
24.013727,-5.002504,64.15443
24.313126,-5.002501,64.60238
24.336275,-5.002501,64.63702
24.336275,-5.002501,64.63702
24.336275,-5.002501,64.63702
26.048656,-5.009357,64.79095
27.741776,-5.004402,64.94318
27.741776,-5.004402,64.94318
28.174984,-5.0030274,64.69362
28.21108,-5.002833,64.67282
28.21108,-5.002833,64.67282
28.354496,-5.004186,62.948696
28.519875,-5.002901,60.955677
28.52447,-5.0027666,60.900322
28.52447,-5.0027666,60.900322
28.52447,-5.002555,60.900322
28.52447,-5.002517,60.900322
28.52447,-5.002508,60.900322
28.52447,-5.002508,60.900322
28.52447,-5.002508,60.900322
28.52447,-5.002508,60.900322
