X,Y,Z
15.810032,-5.0025005,36.22181
15.810032,-5.0025005,36.22181
15.810032,-5.0025005,36.22181
15.810032,-5.0025005,36.22181
15.810038,-5.002498,36.221813
16.258856,-5.0025005,36.670555
17.287659,-5.0025005,37.69937
18.945673,-5.002522,39.357414
20.359713,-5.002505,40.77148
20.783941,-5.0025024,41.195713
20.783941,-5.0025024,41.195713
20.818598,-5.0025005,43.17586
20.853336,-5.0025,45.158485
20.887848,-5.0025,47.130802
20.922361,-5.0025,49.10325
20.956877,-5.0025,51.07587
20.991386,-5.0025,53.04801
21.02589,-5.0025,55.020454
21.051878,-5.0025005,56.50569
21.052605,-5.0025,56.547318
21.052605,-5.0025,56.547318
21.052605,-5.0025,56.547318
21.052605,-5.0025,56.547318
21.052605,-5.0025,56.547318
21.052605,-5.0025,56.547318
21.052605,-5.0025,56.547318
21.052605,-5.0025,56.547318
21.052605,-5.0025,56.547318
21.052605,-5.0025,56.547318
21.052605,-5.0025,56.547318
21.052605,-5.0025,56.547318
21.052605,-5.0025,56.547318
21.052605,-5.0025,56.547318
20.884302,-5.002509,56.69236
20.884302,-5.002509,56.69236
19.213337,-5.0025015,56.89325
19.02305,-5.002501,56.91613
18.981686,-5.002501,56.921104
18.981686,-5.002501,56.921104
18.981686,-5.002501,56.921104
18.981686,-5.002501,56.921104
18.981686,-5.002501,56.921104
18.981686,-5.002501,56.921104
18.981686,-5.002501,56.921104
18.981686,-5.002501,56.921104
18.981686,-5.002501,56.921104
18.981686,-5.002501,56.921104
18.981686,-5.002501,56.921104
18.981686,-5.002501,56.921104
18.79186,-5.0025,57.16873
18.79186,-5.0025,57.16873
18.47783,-5.0025005,57.29879
18.44185,-5.0025005,57.31369
18.44185,-5.0025005,57.31369
18.441875,-5.0025,57.31368
18.441875,-5.0025,57.31368
18.441875,-5.0025,57.31368
18.441875,-5.0025,57.31368
18.441875,-5.0025,57.31368
18.441875,-5.0025,57.31368
18.441875,-5.00795,57.31368
18.441875,-5.00795,57.31368
18.441875,-5.004781,57.31368
18.441875,-5.004781,57.31368
18.441875,-5.004781,57.31368
18.441875,-5.004781,57.31368
18.441875,-5.004781,57.31368
18.441875,-5.002685,57.31368
18.441875,-5.0025816,57.31368
18.441875,-5.0025325,57.31368
18.441875,-5.002516,57.31368
17.415112,-5.0025043,57.43126
17.415112,-5.0025043,57.43126
16.95969,-5.0025015,57.71916
16.926826,-5.002501,57.73993
16.901005,-5.002501,57.756256
16.901005,-5.002501,57.756256
16.901005,-5.002501,57.756256
16.762037,-5.007243,59.475075
16.60077,-5.0036283,61.468292
16.59629,-5.003211,61.523643
16.591812,-5.002926,61.579006
16.591812,-5.002926,61.579006
16.591812,-5.002607,61.579006
17.35285,-5.0025287,62.67377
17.35285,-5.0025287,62.67377
17.626162,-5.004532,62.789154
17.664644,-5.0037775,62.805313
17.664644,-5.0037775,62.805313
17.664843,-5.0027485,62.80531
17.664877,-5.0025764,62.80531
17.664886,-5.0025263,62.80531
17.66489,-5.002509,62.80531
17.66489,-5.002509,62.80531
17.66489,-5.002509,62.80531
17.66489,-5.002501,62.80531
17.66489,-5.002501,62.80531
17.66489,-5.002501,62.80531
17.663898,-5.007764,62.80531
17.663898,-5.007764,62.80531
17.663898,-5.004593,62.80531
17.663898,-5.004593,62.80531
17.663898,-5.004593,62.80531
17.663898,-5.004593,62.80531
17.834198,-5.002731,63.091835
17.854063,-5.0026383,63.12526
