X,Y,Z
15.810032,-5.0025005,36.22181
15.810032,-5.0025005,36.22181
15.810032,-5.0025005,36.22181
15.810032,-5.0025005,36.22181
15.810038,-5.002498,36.221813
16.258856,-5.0025005,36.670555
17.287659,-5.0025005,37.69937
18.872618,-5.005856,39.28471
20.286777,-5.0032983,40.698673
20.85248,-5.0028515,41.26429
20.85248,-5.0028515,41.26429
20.878647,-5.002556,43.244633
20.905071,-5.0025134,45.24431
20.931622,-5.002504,47.244118
20.95802,-5.002501,49.24385
20.984383,-5.0025005,51.241238
21.010515,-5.0025005,53.22077
21.036652,-5.0025005,55.200726
21.053686,-5.0025,56.491066
21.054201,-5.0025005,56.530037
21.054607,-5.0025005,56.560947
21.054607,-5.0025005,56.560947
21.054607,-5.0025005,56.56092
21.054607,-5.0025005,56.56092
21.054607,-5.0025005,56.56092
21.054607,-5.0025005,56.56092
21.054607,-5.0025005,56.56092
21.054607,-5.0025005,56.56092
21.054607,-5.0025005,56.56092
21.054607,-5.0025005,56.56092
21.054607,-5.0025005,56.56092
21.054607,-5.0025005,56.56092
21.054607,-5.0025005,56.56092
21.054607,-5.0025005,56.56092
21.225145,-5.0025005,56.699562
21.225145,-5.0025005,56.699562
21.379019,-5.0025005,57.054226
21.395588,-5.0025005,57.092453
21.395588,-5.0025005,57.092453
21.395588,-5.0025005,57.092453
21.395588,-5.0025005,57.092453
21.395588,-5.0025005,57.092453
21.395588,-5.0025005,57.092453
21.395588,-5.0025005,57.092453
21.395588,-5.0025005,57.092453
21.395588,-5.0025005,57.092453
21.395588,-5.0025005,57.092453
21.395588,-5.0025005,57.092453
21.395588,-5.0025005,57.092453
21.395588,-5.0025005,57.092453
21.395588,-5.0025005,57.092453
21.395588,-5.0025005,57.092453
21.395588,-5.0025005,57.092453
21.759079,-5.0025005,57.29998
21.759079,-5.0025005,57.29998
21.759054,-5.0025,57.299965
21.759054,-5.0025,57.299965
21.759054,-5.0025,57.299965
21.759054,-5.0025,57.299965
22.759472,-5.0025005,57.432213
22.759472,-5.0025005,57.432213
23.165771,-5.0025005,57.70595
23.198414,-5.0025005,57.727962
23.223795,-5.0025005,57.745075
23.223795,-5.0025005,57.745075
23.22377,-5.0025,57.74506
23.359726,-5.004271,59.452248
23.518219,-5.0032964,61.445835
23.52262,-5.003027,61.501247
23.527023,-5.002832,61.55667
23.527023,-5.002832,61.55667
23.527021,-5.002593,61.55667
23.193707,-5.0025353,62.209854
23.193707,-5.0025353,62.209854
22.022621,-5.0025077,62.397633
21.981524,-5.002505,62.404224
21.981524,-5.002505,62.404224
21.981524,-5.002505,62.404224
21.981524,-5.002505,62.404224
21.981524,-5.002505,62.404224
21.981524,-5.002505,62.404224
21.981524,-5.002505,62.404224
21.981524,-5.002505,62.404224
21.981524,-5.002505,62.404224
21.981524,-5.002505,62.404224
21.981524,-5.002505,62.404224
21.981524,-5.002505,62.404224
21.981524,-5.002505,62.404224
21.981524,-5.002505,62.404224
21.981524,-5.002505,62.404224
22.113844,-5.002501,62.41968
22.155228,-5.0025005,62.42452
22.155228,-5.0025005,62.42452
22.577679,-5.0025005,62.446827
22.616999,-5.0025005,62.448864
22.647568,-5.0025005,62.450447
22.647568,-5.0025005,62.450447
22.64754,-5.0025005,62.450447
22.64754,-5.0025005,62.450447
22.64754,-5.0025005,62.450447
23.27919,-5.002607,62.119263
23.27919,-5.002607,62.119263
23.4866,-5.008006,60.90367
23.493576,-5.005977,60.862656
