X,Y,Z
15.810032,-5.0025005,36.22181
15.810032,-5.0025005,36.22181
15.810032,-5.0025005,36.22181
15.810032,-5.0025005,36.22181
15.810038,-5.002498,36.221813
16.258856,-5.0025005,36.670555
17.316122,-5.0025005,37.727833
18.913694,-5.0025005,39.32547
20.313742,-5.0025005,40.72552
20.803167,-5.0025005,41.214947
20.803167,-5.0025005,41.214947
20.835264,-5.0025005,43.17531
20.867512,-5.0025005,45.154884
20.899763,-5.0025005,47.134335
20.932013,-5.0025005,49.114037
20.96427,-5.0025005,51.093914
20.996521,-5.0025005,53.073364
21.028769,-5.0025005,55.052937
21.052235,-5.0025005,56.493206
21.052914,-5.0025,56.534863
21.05342,-5.0025005,56.565926
21.05342,-5.0025005,56.565926
21.05342,-5.0025005,56.565895
21.05342,-5.0025005,56.565895
21.05342,-5.0025005,56.565895
21.05342,-5.0025005,56.565895
21.05342,-5.0025005,56.565895
21.05342,-5.0025005,56.565895
21.05342,-5.0025005,56.565895
21.05342,-5.0025005,56.565895
21.05342,-5.0025005,56.565895
21.05342,-5.0025005,56.565895
21.05342,-5.0025005,56.565895
21.05342,-5.0025005,56.565895
21.224937,-5.0025005,56.70332
21.224937,-5.0025005,56.70332
21.379473,-5.0025005,57.057556
21.39612,-5.0025005,57.09575
21.39612,-5.0025005,57.09575
21.39612,-5.0025005,57.09575
21.39612,-5.0025005,57.09575
21.39612,-5.0025005,57.09575
21.39612,-5.0025005,57.09575
21.39612,-5.0025005,57.09575
21.39612,-5.0025005,57.09575
21.39612,-5.0025005,57.09575
21.39612,-5.0025005,57.09575
21.39612,-5.0025005,57.09575
21.39612,-5.0025005,57.09575
21.39612,-5.0025005,57.09575
21.39612,-5.0025005,57.09575
21.39612,-5.0025005,57.09575
21.39612,-5.0025005,57.09575
21.287895,-5.0025005,56.894806
21.269426,-5.0025005,56.860523
21.254765,-5.0025005,56.833305
21.254765,-5.0025005,56.833305
21.254778,-5.0025,56.83333
21.254778,-5.0025,56.83333
21.110077,-5.008801,55.82113
21.110077,-5.008801,55.82113
20.81721,-5.004248,55.368923
20.794575,-5.003602,55.333973
20.794575,-5.003602,55.333973
19.391546,-5.0026927,55.041023
19.391546,-5.0026927,55.041023
19.391548,-5.002551,55.041023
19.391548,-5.002524,55.041023
19.391548,-5.0025067,55.041023
19.391548,-5.0025067,55.041023
19.391548,-5.0025067,55.041023
19.391548,-5.0025067,55.041023
19.391548,-5.0025067,55.041023
19.391548,-5.0025067,55.041023
19.391548,-5.0025067,55.041023
19.391548,-5.0025067,55.041023
19.391548,-5.0025067,55.041023
19.391548,-5.0025067,55.041023
19.391548,-5.0025067,55.041023
19.279804,-5.0025005,54.84916
19.251846,-5.0025005,54.801155
19.251846,-5.0025005,54.801155
19.251846,-5.0025005,54.801155
18.786747,-5.0025005,54.243576
18.786747,-5.0025005,54.243576
18.786747,-5.0025005,54.243576
18.616596,-5.0025005,53.289337
18.616596,-5.0025005,53.289337
18.319124,-5.0025005,52.852215
18.297031,-5.0025005,52.819775
18.297031,-5.0025005,52.819775
16.90626,-5.0025005,52.541206
16.90626,-5.0025005,52.541206
16.906288,-5.0025005,52.54121
16.906288,-5.0025005,52.54121
16.906288,-5.0025005,52.54121
16.906288,-5.0025005,52.54121
16.906288,-5.0025005,52.54121
16.906288,-5.0025005,52.54121
16.906288,-5.0025005,52.54121
16.906288,-5.0025005,52.54121
16.906288,-5.0025005,52.54121
