X,Y,Z
15.810032,-5.0025005,36.22181
15.810032,-5.0025005,36.22181
15.810032,-5.0108337,36.22181
15.810038,-5.002371,36.221813
15.810038,-5.002498,36.221813
16.258854,-5.0025005,36.670555
16.421602,-5.0025005,36.8333
17.186346,-5.0025005,37.59806
18.596258,-5.0059733,39.00825
20.010382,-5.0033264,40.422256
20.788198,-5.002812,41.200005
20.788198,-5.002812,41.200005
20.822329,-5.002549,43.18022
20.856972,-5.002512,45.17973
20.891378,-5.002503,47.17946
20.925816,-5.002501,49.179073
20.960218,-5.0025005,51.17659
20.994358,-5.0025005,53.158794
21.028503,-5.0025005,55.14142
21.052448,-5.0025005,56.53158
21.053165,-5.0025,56.573208
21.053165,-5.0025,56.573208
21.053165,-5.0025,56.573208
21.053165,-5.0025,56.573208
21.053165,-5.0025,56.573208
21.053165,-5.0025,56.573208
21.053165,-5.0025,56.573208
21.053165,-5.0025,56.573208
21.053165,-5.0079503,56.573208
21.053165,-5.0079503,56.573208
21.053165,-5.0047812,56.573208
21.053165,-5.0047812,56.573208
21.053165,-5.0047812,56.573208
21.053165,-5.0047812,56.573208
21.227833,-5.00286,56.710567
21.227833,-5.00286,56.710567
21.38337,-5.0026107,57.066986
21.399971,-5.0025697,57.105026
21.399971,-5.0025697,57.105026
21.399971,-5.0025234,57.105026
21.399971,-5.0025144,57.105026
21.399971,-5.002506,57.105026
21.399971,-5.002506,57.105026
21.399971,-5.002506,57.105026
21.399971,-5.002506,57.105026
21.399971,-5.002506,57.105026
21.399971,-5.002506,57.105026
21.399971,-5.002506,57.105026
21.399971,-5.002506,57.105026
21.399971,-5.002506,57.105026
21.399971,-5.002506,57.105026
21.399971,-5.002506,57.105026
21.399971,-5.002506,57.105026
21.289675,-5.0025005,56.899574
21.269968,-5.0025005,56.862865
21.255476,-5.0025005,56.83587
21.255476,-5.0025005,56.83587
21.25549,-5.0025005,56.835896
21.25549,-5.0025005,56.835896
21.110485,-5.0084276,55.82389
21.110485,-5.0084276,55.82389
20.818068,-5.004144,55.371056
20.795464,-5.0035367,55.336082
20.777378,-5.0031533,55.308098
20.777378,-5.0031533,55.308098
19.370798,-5.0026145,55.032665
19.370798,-5.0026145,55.032665
19.370798,-5.002534,55.032665
19.370798,-5.002516,55.032665
19.370798,-5.002507,55.032665
19.370798,-5.002507,55.032665
19.370798,-5.002507,55.032665
19.370798,-5.002507,55.032665
19.370798,-5.002507,55.032665
19.370798,-5.002507,55.032665
19.370798,-5.002507,55.032665
19.370798,-5.002507,55.032665
19.370798,-5.002507,55.032665
19.370798,-5.002507,55.032665
19.370798,-5.002507,55.032665
19.26319,-5.002501,54.83846
19.26319,-5.002501,54.83846
19.26319,-5.002501,54.83846
18.808683,-5.0025005,54.278282
18.808683,-5.0025005,54.278282
18.808683,-5.0025005,54.278282
18.624079,-5.011419,53.30746
18.624033,-5.0081263,53.307243
18.322607,-5.0049744,52.86076
18.299313,-5.00406,52.826252
18.299313,-5.00406,52.826252
16.894907,-5.0027733,52.54006
16.894907,-5.0027733,52.54006
16.894907,-5.002559,52.54006
16.894907,-5.0025215,52.54006
16.894907,-5.002513,52.54006
16.894907,-5.0025043,52.54006
16.894907,-5.0025043,52.54006
16.894907,-5.0025043,52.54006
16.894907,-5.0025043,52.54006
16.894907,-5.0025043,52.54006
16.894907,-5.0025043,52.54006
16.894907,-5.0025043,52.54006
16.894907,-5.0025043,52.54006
