X,Y,Z
15.810032,-5.0025005,36.22181
15.810032,-5.0025005,36.22181
15.810032,-5.0025005,36.22181
15.810032,-5.0025005,36.22181
15.810038,-5.002498,36.221813
16.258856,-5.0025005,36.670555
17.287659,-5.0025005,37.69937
18.872618,-5.005856,39.28471
20.286777,-5.0032983,40.698673
20.85248,-5.0028515,41.26429
20.85248,-5.0028515,41.26429
20.878647,-5.002556,43.244633
20.905071,-5.0025134,45.24431
20.931622,-5.002504,47.244118
20.95802,-5.002501,49.24385
20.984383,-5.0025005,51.241238
21.010515,-5.0025005,53.22077
21.036652,-5.0025005,55.200726
21.053686,-5.0025,56.491066
21.054201,-5.0025005,56.530037
21.054607,-5.0025005,56.560947
21.054607,-5.0025005,56.560947
21.054607,-5.0025005,56.56092
21.054607,-5.0025005,56.56092
21.054607,-5.0025005,56.56092
21.054607,-5.0025005,56.56092
21.054607,-5.0025005,56.56092
21.054607,-5.0025005,56.56092
21.054607,-5.0079503,56.56092
21.054607,-5.0079503,56.56092
21.054607,-5.004781,56.56092
21.054607,-5.004781,56.56092
21.054607,-5.004781,56.56092
21.054607,-5.004781,56.56092
20.883692,-5.002879,56.702915
20.883692,-5.002879,56.702915
19.211552,-5.0025635,56.89642
19.021221,-5.0025344,56.91844
18.97988,-5.0025215,56.923225
18.97988,-5.0025215,56.923225
18.97988,-5.002513,56.923225
18.97988,-5.002513,56.923225
18.97988,-5.002513,56.923225
18.97988,-5.002513,56.923225
18.97988,-5.002513,56.923225
18.97988,-5.002513,56.923225
18.97988,-5.002513,56.923225
18.97988,-5.002513,56.923225
18.97988,-5.002513,56.923225
18.97988,-5.002513,56.923225
18.787277,-5.0025005,57.174904
18.787277,-5.0025005,57.174904
18.467863,-5.0025005,57.30532
18.431808,-5.0025005,57.32004
18.431808,-5.0025005,57.32004
18.431833,-5.0025,57.32003
18.431833,-5.0025,57.32003
18.431833,-5.0025,57.32003
18.431833,-5.0025,57.32003
18.431833,-5.0025,57.32003
18.431833,-5.0025,57.32003
18.431833,-5.0079503,57.32003
18.431833,-5.0079503,57.32003
18.431833,-5.004781,57.32003
18.431833,-5.004781,57.32003
18.431833,-5.004781,57.32003
18.431833,-5.004781,57.32003
18.431833,-5.004781,57.32003
18.431833,-5.002705,57.32003
18.431833,-5.0025816,57.32003
18.431833,-5.0025325,57.32003
18.431833,-5.0025153,57.32003
17.404774,-5.0025053,57.43372
17.404774,-5.0025053,57.43372
16.950354,-5.002502,57.72317
16.915218,-5.0025015,57.745552
16.915218,-5.0025015,57.745552
16.915218,-5.0025015,57.745552
16.77096,-5.0055227,59.461323
16.603502,-5.0032187,61.454414
16.598852,-5.002953,61.50976
16.594202,-5.0027714,61.565113
16.594202,-5.0027714,61.565113
16.594202,-5.002579,61.565113
17.348804,-5.00252,62.66416
17.348804,-5.00252,62.66416
17.619535,-5.00425,62.781628
17.657858,-5.0036006,62.798138
17.688509,-5.0031934,62.811344
17.688509,-5.0031934,62.811344
17.68863,-5.0026426,62.811344
17.68865,-5.0025463,62.811344
17.688656,-5.0025196,62.811344
17.688656,-5.002511,62.811344
17.688658,-5.0025024,62.811344
17.688658,-5.0025024,62.811344
17.688658,-5.0025024,62.811344
17.688658,-5.0025024,62.811344
17.688658,-5.0025024,62.811344
17.687574,-5.007727,62.811344
17.687574,-5.007727,62.811344
17.687574,-5.007727,62.811344
17.687574,-5.0044746,62.811344
17.687574,-5.0044746,62.811344
