X,Y,Z
16.900528,-5.002389,34.16156
16.900528,-5.002389,34.16156
16.900528,-5.002389,34.16156
16.900528,-5.002389,34.16156
16.900528,-5.002511,34.16156
18.116669,-5.002511,35.378193
18.399807,-5.002511,35.661076
18.399807,-5.002511,35.661076
18.531528,-5.002511,37.631535
18.618608,-5.002511,38.93406
18.6212,-5.002511,38.972824
18.623236,-5.002511,39.00327
18.623236,-5.002511,39.00327
19.760073,-5.002511,40.31151
20.940756,-5.002511,41.670364
20.940756,-5.002511,41.670364
20.968025,-5.002511,43.650593
20.99553,-5.002511,45.65027
21.023123,-5.002511,47.65024
21.050627,-5.002511,49.649918
21.078129,-5.002511,51.649593
21.105629,-5.002511,53.649574
21.13317,-5.002511,55.64925
21.14424,-5.002511,56.454636
21.144773,-5.002511,56.49348
21.144773,-5.002511,56.49348
21.144773,-5.002511,56.49348
21.144773,-5.002511,56.49348
21.144773,-5.002511,56.49348
21.144773,-5.002511,56.49348
21.144773,-5.002511,56.49348
21.144773,-5.002511,56.49348
21.144773,-5.002511,56.49348
21.144773,-5.002511,56.49348
21.144773,-5.002511,56.49348
21.144773,-5.002511,56.49348
21.144773,-5.002511,56.49348
21.144773,-5.002511,56.49348
21.144773,-5.002511,56.49348
21.152918,-5.002511,57.04655
21.154228,-4.449807,57.20311
21.14121,-3.3174524,56.407246
21.136297,-2.9179773,56.090084
21.13281,-2.610238,55.8645
21.13038,-2.3754663,55.706898
21.128733,-2.1989527,55.599762
21.129616,-1.9255458,55.640785
21.130987,-1.8768398,55.71995
21.132347,-1.8421413,55.798996
21.133574,-1.8257228,55.870815
21.134901,-1.8195888,55.94914
21.136105,-1.8233119,56.020477
21.13724,-1.8329555,56.0881
21.138245,-1.8463832,56.14816
21.139154,-1.8628322,56.20261
21.13999,-1.881692,56.2529
21.140772,-1.9025356,56.300083
21.14151,-1.9249659,56.34497
21.142218,-1.9485865,56.388157
21.1429,-1.9731836,56.43008
21.143568,-1.9984827,56.471058
21.144276,-2.0263453,56.51464
21.144905,-2.0518885,56.55353
21.145529,-2.0777063,56.592262
21.146149,-2.1036768,56.630882
21.146763,-2.1295557,56.669403
21.147297,-2.1521997,56.703014
21.143963,-2.1697118,56.59036
21.138783,-2.1163168,56.397137
21.134024,-1.9992652,56.215122
21.13406,-2.0008488,56.21751
21.13409,-2.0020356,56.21927
21.134106,-2.0028262,56.220436
21.13412,-2.0034032,56.221336
21.134136,-2.0038884,56.22201
21.141825,-2.171722,56.523567
21.150553,-2.212598,56.865654
21.150553,-2.2125986,56.865803
20.597418,-2.221053,56.87718
19.870678,-2.232742,56.891994
19.620152,-2.237076,56.89709
19.424305,-2.2404943,56.901047
19.269049,-2.2432718,56.904156
19.143923,-2.2455304,56.9066
19.041166,-2.2473924,56.908554
18.95502,-2.2489796,56.910107
18.874773,-2.2504754,56.91145
18.82235,-2.2514217,56.91227
18.690294,-2.2409713,56.687767
18.646341,-2.2357817,56.66136
18.611029,-2.2363944,56.667633
18.601637,-2.2363927,56.667778
18.598701,-2.236392,56.667812
18.596748,-2.2363913,56.66784
18.595253,-2.2363904,56.667866
18.594114,-2.2363896,56.667892
18.59334,-2.2363892,56.667892
18.634956,-2.2535467,56.77355
18.634506,-2.2535465,56.773544
18.631334,-2.2537904,56.777325
18.62301,-2.2544918,56.78797
18.610865,-2.2554681,56.80369
18.595884,-2.2566884,56.82317
18.578804,-2.258031,56.845444
18.560165,-2.259465,56.86978
18.540375,-2.2609296,56.895664
18.51973,-2.2623634,56.922688
18.498453,-2.2637365,56.95057
18.476711,-2.265018,56.979084
18.454634,-2.266147,57.00808
18.432308,-2.2672145,57.03743
18.40797,-2.2681298,57.069454
18.385815,-2.2687705,57.098656
18.363445,-2.2691975,57.128178
18.340918,-2.2694106,57.15795
18.31828,-2.2692883,57.18792
18.295559,-2.2691355,57.21804
18.246857,-2.265738,57.239983
18.181345,-2.2618964,57.25922
18.152935,-2.2572758,57.250572
18.10121,-2.2517684,57.264492
18.065493,-2.2456024,57.26793
18.055534,-2.2458186,57.285397
18.054728,-2.245818,57.28646
18.054289,-2.2458172,57.287033
18.054138,-2.2458162,57.287228
18.054138,-2.245816,57.287228
18.054138,-2.2458158,57.287224
18.054138,-2.2458153,57.287224
18.054138,-2.245815,57.28722
18.054138,-2.2458148,57.287216
18.157553,-2.2659585,57.334133
18.262346,-2.2711546,57.381996
18.262346,-2.2711546,57.381992
18.262346,-2.2711544,57.38199
18.228653,-2.2714202,57.394276
18.22177,-2.2714202,57.381397
18.21829,-2.2714205,57.37489
18.216818,-2.2714205,57.372128
17.873404,-2.2641878,57.380554
17.658428,-2.2597017,57.38752
17.489277,-2.2561922,57.393055
17.354078,-2.2533846,57.397488
17.244038,-2.2511876,57.40106
17.152637,-2.2494478,57.403957
17.075045,-2.2481663,57.406326
17.01862,-2.2472813,57.408005
16.962967,-2.2464573,57.414074
16.909163,-2.2457554,57.42612
16.856802,-2.245145,57.44146
16.81387,-2.2447789,57.457214
16.773855,-2.2445042,57.47448
16.736069,-2.2442296,57.492954
16.69999,-2.244077,57.5124
16.665218,-2.244077,57.53262
16.631453,-2.244077,57.553482
16.598465,-2.244077,57.574852
16.56608,-2.2441993,57.59663
16.534166,-2.244413,57.618755
16.509161,-2.244657,57.636333
16.4725,-2.244779,57.662098
16.397024,-2.2405982,58.22173
16.273506,-2.231504,59.436417
16.142872,-2.2236917,60.84551
16.104794,-2.2217996,61.27539
16.07697,-2.2207315,61.597645
16.05868,-2.2202432,61.817467
16.031864,-2.2196023,62.13975
16.01851,-2.219114,62.300217
16.021635,-2.2193277,62.36336
16.040749,-2.2200296,62.418987
16.07205,-2.2210977,62.46836
16.110016,-2.2223794,62.51638
16.140673,-2.2234476,62.54766
16.181126,-2.224821,62.57752
16.220234,-2.2261636,62.602962
16.253635,-2.2273846,62.623264
16.290516,-2.2287884,62.642944
16.324463,-2.2301922,62.65897
16.359035,-2.231657,62.67378
16.394089,-2.2331524,62.687637
16.429506,-2.2346478,62.700733
16.465206,-2.236143,62.713245
16.501122,-2.2376385,62.72528
16.537205,-2.2391338,62.736954
16.573416,-2.2405987,62.748337
16.60973,-2.242033,62.759476
16.646122,-2.2434063,62.770424
16.682579,-2.2447186,62.781216
16.711359,-2.2457561,62.789677
16.881195,-2.248869,62.812046
17.021914,-2.2510357,62.826717
17.14619,-2.2528975,62.839336
17.237854,-2.2542098,62.84832
17.315609,-2.2552779,62.855637
17.383057,-2.2561018,62.861706
17.442873,-2.2566817,62.866825
17.497038,-2.257231,62.871223
17.547012,-2.2575057,62.875072
17.59389,-2.2577803,62.87851
17.638466,-2.257933,62.881622
17.681345,-2.257933,62.884495
17.722963,-2.257933,62.88717
17.76365,-2.2578108,62.8897
17.803644,-2.2575667,62.892128
17.843126,-2.257292,62.894455
17.88223,-2.2570176,62.896713
17.916231,-2.256743,62.89865
17.768072,-2.227384,62.809185
17.779305,-2.2281368,62.88005
17.818895,-2.2353673,62.914375
17.833324,-2.2358568,62.949055
