X,Y,Z
15.810032,-5.0025005,36.22181
15.810032,-5.0025005,36.22181
15.810032,-5.0025005,36.22181
15.810032,-5.0108337,36.22181
15.810038,-5.002498,36.221813
16.258856,-5.0025005,36.670555
17.287659,-5.0025005,37.69937
18.872618,-5.005856,39.28471
20.286777,-5.0032983,40.698673
20.85248,-5.0028515,41.26429
20.85248,-5.0028515,41.26429
20.878647,-5.002556,43.244633
20.905071,-5.0025134,45.24431
20.931622,-5.002504,47.244118
20.95802,-5.002501,49.24385
20.984383,-5.0025005,51.241238
21.010515,-5.0025005,53.22077
21.036652,-5.0025005,55.200726
21.053686,-5.0025,56.491066
21.054201,-5.0025005,56.530037
21.054607,-5.0025005,56.560947
21.054607,-5.0025005,56.560947
21.054607,-5.0025005,56.56092
21.054607,-5.0025005,56.56092
21.054607,-5.0025005,56.56092
21.054607,-5.0025005,56.56092
21.054607,-5.0025005,56.56092
21.054607,-5.0025005,56.56092
21.054607,-5.0025005,56.56092
21.054607,-5.0025005,56.56092
21.054607,-5.0025005,56.56092
21.054607,-5.0025005,56.56092
21.054607,-5.0025005,56.56092
21.054607,-5.0025005,56.56092
21.061115,-5.002501,56.966717
21.063124,-4.9957037,57.172585
21.06306,-4.9767857,57.32619
21.062912,-4.9495573,57.42648
21.06274,-4.917061,57.48706
21.062557,-4.8814235,57.51808
21.062366,-4.8440475,57.527084
21.062168,-4.805822,57.519695
21.061962,-4.7672873,57.500095
21.061749,-4.7287483,57.471405
21.061527,-4.6903553,57.43595
21.061302,-4.652157,57.39546
21.061073,-4.61413,57.35121
21.060846,-4.576205,57.30417
21.060667,-4.546312,57.266094
21.056084,-3.932281,56.62952
21.052448,-3.231726,56.283035
21.051937,-2.9000874,56.262123
21.051733,-2.6408064,56.263035
21.051746,-2.4403515,56.27781
21.051928,-2.2867336,56.302902
21.052242,-2.1710548,56.335682
21.052662,-2.086214,56.37418
21.05316,-2.0263147,56.416943
21.05372,-1.9865478,56.462875
21.054327,-1.9630176,56.511177
21.054974,-1.9525853,56.56123
21.055645,-1.9527467,56.6126
21.056335,-1.961528,56.664936
21.05704,-1.9773983,56.718002
21.05775,-1.9992005,56.77161
21.05846,-2.0260932,56.825623
21.05902,-2.0492399,56.868366
21.047438,-2.0652487,56.737183
21.034775,-2.0022418,56.557518
21.023579,-1.8759062,56.38618
21.024961,-1.8986019,56.41356
21.026342,-1.9189664,56.43855
21.02637,-1.9200653,56.44058
21.026373,-1.9202946,56.441006
21.026377,-1.9204471,56.441284
21.02638,-1.9205632,56.4415
21.026384,-1.9206517,56.441666
21.026384,-1.920704,56.441765
21.026384,-1.9207036,56.44176
21.04486,-2.0838742,56.744083
21.051706,-2.1106315,56.856056
21.058702,-2.1226208,56.970547
21.058702,-2.1226208,56.970547
21.056318,-2.1274526,56.416927
21.050865,-2.1354215,55.608925
21.048265,-2.1397426,55.263493
21.046167,-2.1444821,54.964344
21.044983,-2.1495,54.75256
21.044582,-2.1565077,54.580643
21.044628,-2.1631684,54.458847
21.04466,-2.1682472,54.365986
21.044687,-2.1721199,54.295185
21.044706,-2.1750727,54.2412
21.044722,-2.1773238,54.20004
21.042986,-2.1790268,54.110947
21.041245,-2.1783571,54.048183
21.039505,-2.1758695,54.001698
21.037766,-2.1719687,53.9642
21.037766,-2.172287,53.958374
21.037766,-2.1723578,53.95708
21.037766,-2.17241,53.956127
21.037766,-2.1724408,53.95556
21.037766,-2.1724682,53.95506
