X,Y,Z
15.810032,-5.0025005,36.22181
15.810032,-5.0025005,36.22181
15.810032,-5.0025005,36.22181
15.810032,-5.0025005,36.22181
15.810038,-5.002498,36.221813
16.258856,-5.0025005,36.670555
17.316122,-5.0025005,37.727833
18.890497,-5.0025005,39.302353
20.290482,-5.0025005,40.702286
20.847862,-5.0025,41.259647
20.847862,-5.0025,41.259647
20.87422,-5.0025005,43.212914
20.900957,-5.0025005,45.192665
20.92769,-5.0025005,47.17219
20.954432,-5.0025005,49.152145
20.981169,-5.0025005,51.131798
21.007902,-5.0025005,53.111324
21.03464,-5.0025005,55.091103
21.054054,-5.0025,56.52895
21.054586,-5.0025005,56.568348
21.054586,-5.0025005,56.568348
21.054586,-5.0025005,56.568317
21.054586,-5.0025005,56.568317
21.054586,-5.0025005,56.568317
21.054586,-5.0025005,56.568317
21.054586,-5.0025005,56.568317
21.054586,-5.0025005,56.568317
21.054586,-5.0025005,56.568317
21.054586,-5.0025005,56.568317
21.054586,-5.0025005,56.568317
21.054586,-5.0025005,56.568317
21.054586,-5.0025005,56.568317
21.054586,-5.0025005,56.568317
21.061644,-5.002491,56.99929
21.064615,-4.995694,57.185123
21.066486,-4.9756618,57.3216
21.067469,-4.9487844,57.396816
21.06803,-4.9139557,57.443256
21.068161,-4.878795,57.459164
21.068027,-4.8413596,57.456917
21.067694,-4.802541,57.44115
21.067211,-4.7629013,57.415318
21.066614,-4.722775,57.38199
21.065931,-4.68234,57.34308
21.065186,-4.6416626,57.300014
21.064394,-4.6007285,57.253857
21.063753,-4.568324,57.21637
21.05157,-3.9472609,56.581017
21.043917,-3.1924226,56.239906
21.043468,-2.8514624,56.236156
21.0435,-2.5859208,56.24987
21.043852,-2.3816512,56.27417
21.044447,-2.226301,56.30635
21.045227,-2.110595,56.34441
21.04615,-2.0270011,56.38684
21.047184,-1.9692668,56.432526
21.048302,-1.9323219,56.480633
21.049482,-1.9120559,56.530552
21.050714,-1.905167,56.581814
21.051981,-1.9090334,56.634075
21.053274,-1.9216026,56.68708
21.054586,-1.9412922,56.740643
21.055912,-1.9669076,56.794613
21.057243,-1.9975811,56.848896
21.058573,-2.032363,56.903416
21.048397,-2.0739572,56.796143
21.036396,-2.0230322,56.627747
21.025497,-1.9022967,56.46182
21.025719,-1.9083909,56.470917
21.027107,-1.9301852,56.49579
21.028488,-1.9500116,56.51939
21.028502,-1.9503636,56.519917
21.02851,-1.9505978,56.520267
21.028517,-1.9507766,56.520535
21.02852,-1.9509125,56.520737
21.028524,-1.9510162,56.520893
21.028526,-1.9510777,56.520985
21.047012,-2.1141994,56.823334
21.053858,-2.1409383,56.93531
21.060858,-2.152909,57.049805
21.060858,-2.152909,57.049805
21.058052,-2.1510346,56.496452
21.05101,-2.149517,55.594635
21.047773,-2.1498094,55.224766
21.044939,-2.1511936,54.88004
21.043543,-2.1541035,54.661987
21.042807,-2.157347,54.509315
21.042246,-2.1598203,54.392906
21.041817,-2.161706,54.30415
21.04149,-2.1631434,54.236477
21.041243,-2.1642396,54.184883
21.039104,-2.1643178,54.077484
21.037151,-2.162667,54.0075
21.035297,-2.1596675,53.957222
21.0335,-2.15552,53.917362
21.033468,-2.1556654,53.910538
21.03346,-2.1556976,53.90902
21.033457,-2.155719,53.90801
21.033453,-2.1557355,53.907234
21.03345,-2.1557465,53.906715
21.033445,-2.1557565,53.90625
21.033445,-2.1557639,53.905895
21.040445,-2.1677454,54.01987
