X,Y,Z
15.810038,-5.002371,36.221813
15.810038,-5.002371,36.221813
15.810038,-5.002371,36.221813
15.810038,-5.002371,36.221813
15.810038,-5.002498,36.221813
17.018206,-5.0025005,37.429905
18.42654,-5.0042324,38.838333
19.840687,-5.0028915,40.25247
20.830612,-5.002627,41.242386
20.830612,-5.002627,41.242386
20.85949,-5.00252,43.22246
20.88866,-5.002505,45.222095
20.917856,-5.0025015,47.22206
20.94702,-5.0025005,49.221817
20.975859,-5.0025005,51.199654
21.004704,-5.0025005,53.17766
21.033615,-5.0025005,55.160236
21.053164,-5.0025005,56.500584
21.053772,-5.0025,56.542213
21.053772,-5.0025,56.542213
21.053772,-5.0025,56.542213
21.053772,-5.0025,56.542213
21.053772,-5.0025,56.542213
21.053772,-5.0025,56.542213
21.053772,-5.0025,56.542213
21.053772,-5.0025,56.542213
21.053772,-5.0079503,56.542213
21.053772,-5.0079503,56.542213
21.053772,-5.0047812,56.542213
21.053772,-5.0047812,56.542213
21.053772,-5.0047812,56.542213
21.053772,-5.0047812,56.542213
21.053772,-5.0047812,56.542213
21.063864,-5.00259,57.095203
21.062222,-4.4498796,57.25157
21.043148,-3.3171494,56.455765
21.036402,-2.8784099,56.112206
21.032406,-2.574544,55.90469
21.029839,-2.3408093,55.76842
21.028341,-2.16459,55.685394
21.027657,-2.034487,55.642143
21.02937,-1.9104956,55.69523
21.031754,-1.8674351,55.78318
21.034014,-1.8408865,55.867687
21.036175,-1.8273948,55.949608
21.038258,-1.824279,56.02961
21.04028,-1.8294553,56.108166
21.04219,-1.8403026,56.183292
21.043955,-1.8546923,56.25332
21.045742,-1.8733295,56.32508
21.047262,-1.8927919,56.38702
21.048721,-1.9144634,56.447227
21.05013,-1.9380275,56.506153
21.051498,-1.9632491,56.564125
21.052828,-1.9899632,56.62138
21.05427,-2.0212567,56.684353
21.055502,-2.0498958,56.73903
21.056713,-2.0801778,56.79384
21.057661,-2.1047354,56.837112
21.048069,-2.1270096,56.727142
21.035595,-2.070899,56.546078
21.024353,-1.9508305,56.37304
21.025831,-1.9734179,56.401436
21.027271,-1.993375,56.42707
21.02729,-1.993907,56.428005
21.027306,-1.9942609,56.42863
21.027315,-1.9945307,56.429108
21.027323,-1.994736,56.429474
21.02733,-1.9948925,56.42975
21.027332,-1.9949988,56.42994
21.04608,-2.1504035,56.736668
21.052967,-2.1742373,56.849293
21.059984,-2.1832428,56.964058
21.059984,-2.1832428,56.964058
21.057367,-2.1900764,56.410904
21.051626,-2.1997852,55.619984
21.04881,-2.204327,55.269424
21.046719,-2.208274,54.99135
21.045334,-2.2119873,54.770184
21.04474,-2.2160504,54.591404
21.044632,-2.2195458,54.465084
21.044548,-2.2222111,54.368767
21.044485,-2.224243,54.29533
21.044436,-2.2257924,54.239338
21.0444,-2.2269735,54.196648
21.04258,-2.2279246,54.102795
21.040792,-2.2270837,54.039883
21.039022,-2.224859,53.99327
21.037266,-2.221467,53.95528
21.035524,-2.217023,53.921894
21.035524,-2.2170622,53.92046
21.035524,-2.2170887,53.9195
21.035524,-2.2171087,53.918766
21.035524,-2.2171237,53.91821
21.035524,-2.2171352,53.917786
21.035524,-2.217143,53.9175
21.04252,-2.2298982,54.031414
21.04252,-2.2299006,54.031322
21.044287,-2.2102218,53.478706
21.04466,-2.200209,53.195774
21.04502,-2.1917896,52.94508
21.045368,-2.1862884,52.7623
21.045786,-2.1825478,52.612076
21.046312,-2.1804423,52.48608
21.04699,-2.1799388,52.37811
21.04785,-2.1810946,52.28354
21.048939,-2.1840723,52.19893
21.0499,-2.1872122,52.13563
21.050632,-2.1896062,52.08737
21.049992,-2.1914682,51.985065
21.048805,-2.1905897,51.91924
21.047375,-2.1879764,51.86969
21.045809,-2.1839614,51.829826
21.04417,-2.1787434,51.795757
21.044195,-2.178821,51.79418
21.04421,-2.1788733,51.793137
21.044222,-2.1789129,51.792336
21.044231,-2.178943,51.791725
21.04424,-2.1789682,51.79121
21.044245,-2.178985,51.790867
21.05122,-2.1954744,51.90428
21.051224,-2.195479,51.904194
20.498238,-2.205705,51.919846
19.707415,-2.21982,51.943523
19.325216,-2.2266169,51.955185
19.031239,-2.23196,51.96409
18.822935,-2.2359524,51.970253
18.676836,-2.238873,51.97449
18.565443,-2.2410998,51.977726
18.48051,-2.2427976,51.98019
18.415752,-2.2440917,51.98207
18.366377,-2.2450788,51.9835
18.29,-2.2438123,51.957176
18.224485,-2.2412853,51.93596
18.191862,-2.2372434,51.910378
18.13576,-2.2324038,51.901176
18.116137,-2.2262344,51.87675
18.114414,-2.2262688,51.8768
18.113146,-2.2262938,51.87684
18.112394,-2.2263088,51.876858
18.111729,-2.226322,51.876877
18.111221,-2.2263322,51.876892
18.110834,-2.2263398,51.8769
18.16689,-2.2459707,51.975452
18.224112,-2.2506967,52.075382
18.224112,-2.2506967,52.075382
18.218275,-2.2507162,52.078865
18.201828,-2.250771,52.088684
18.177477,-2.2508523,52.103218
18.147242,-2.2509522,52.121265
18.112621,-2.2510655,52.141926
18.07176,-2.251198,52.166306
18.032242,-2.2513244,52.189888
17.99071,-2.251455,52.214664
17.947678,-2.2515883,52.24034
17.913214,-2.2516937,52.2609
17.877409,-2.2518406,52.279957
17.83706,-2.252069,52.297455
17.793304,-2.2523587,52.313656
17.746992,-2.2526922,52.32878
17.69876,-2.2530556,52.343006
17.649082,-2.2534354,52.35647
17.598316,-2.2538197,52.369297
17.54673,-2.254198,52.38158
17.501368,-2.2545233,52.392075
17.44329,-2.25494,52.405506
17.418673,-2.2551167,52.4112
16.978928,-2.252925,52.770096
16.43263,-2.249911,53.23943
16.184082,-2.2485743,53.455418
15.986749,-2.247576,53.626907
15.829425,-2.2468834,53.763355
15.719149,-2.2464583,53.858803
15.462871,-2.2352078,54.62126
15.320167,-2.2129998,55.9791
15.284456,-2.2005,56.878643
15.280214,-2.1959176,57.2919
15.281746,-2.1930676,57.61533
15.290201,-2.191879,57.890587
15.307395,-2.1931717,58.07896
15.333684,-2.1967704,58.217766
15.364522,-2.2019827,58.313026
15.3955965,-2.2080016,58.372612
15.424702,-2.2142324,58.40432
15.45095,-2.220346,58.414654
15.474115,-2.2261686,58.408756
15.494286,-2.231614,58.39059
15.511677,-2.236642,58.363174
15.526536,-2.2412379,58.328808
15.539102,-2.2453966,58.28921
15.550511,-2.249434,58.242275
15.557738,-2.2521071,58.207394
15.512704,-2.232578,57.92497
15.408712,-2.2376158,57.982983
15.384982,-2.2410197,58.107136
15.394996,-2.2417886,58.13608
15.410201,-2.2421532,58.16638
15.410432,-2.2422392,58.165268
15.4105,-2.242264,58.164944
15.410544,-2.2422805,58.16473
15.410578,-2.2422931,58.164562
15.410588,-2.2422967,58.164513
15.410588,-2.242297,58.16451
15.410588,-2.242297,58.16451
15.511124,-2.2584045,58.11034
15.511124,-2.2584045,58.11034
15.516797,-2.258578,58.11408
15.5337305,-2.259094,58.125256
15.557097,-2.2597945,58.140694
15.586207,-2.2606423,58.159946
15.619582,-2.2615721,58.182045
15.656126,-2.2625277,58.206257
15.686049,-2.2632802,58.226086
15.848517,-2.2492342,58.808956
15.953764,-2.2364957,59.29851
16.011179,-2.2293093,59.583557
16.055565,-2.2237742,59.81231
16.089226,-2.2196732,59.99645
16.114002,-2.216875,60.147408
16.130884,-2.2154093,60.273594
16.14109,-2.214823,60.3645
16.148872,-2.214376,60.43381
16.155441,-2.2139988,60.492313
16.160282,-2.2137203,60.535435
16.009926,-2.1670444,60.76231
16.057793,-2.1765068,60.7915
16.104418,-2.1850567,60.80185
16.15434,-2.185904,60.830967
16.154701,-2.1858833,60.834183
16.15489,-2.1858723,60.83587
16.15499,-2.1858668,60.836758
16.15502,-2.185865,60.837013
16.155039,-2.185863,60.837185
16.155046,-2.185863,60.837257
16.155046,-2.185863,60.837257
16.155046,-2.185863,60.837257
16.155046,-2.1858633,60.837257
16.195837,-2.2080767,60.73169
16.237238,-2.215432,60.624302
16.237238,-2.215432,60.624302
16.194538,-2.2217162,61.170975
16.088953,-2.234584,62.346474
16.05067,-2.2389264,62.750774
16.02142,-2.2423947,63.06852
16.000086,-2.2452376,63.318863
15.986317,-2.2472827,63.49295
15.975819,-2.2488422,63.625687
15.967814,-2.2500312,63.726887
15.961711,-2.250938,63.804054
15.957058,-2.2516289,63.862885
15.954796,-2.2522213,63.90616
15.956487,-2.252667,63.924686
15.961203,-2.2530189,63.925365
15.967487,-2.253229,63.91148
15.975694,-2.2533703,63.88573
15.984088,-2.2534277,63.854404
15.993137,-2.2534316,63.817265
16.002617,-2.2533915,63.7758
16.01236,-2.2533157,63.731094
16.020119,-2.2532425,63.694706
16.023714,-2.2526836,63.66687
16.02511,-2.2512295,63.667282
16.025955,-2.2488656,63.680107
16.026144,-2.2455873,63.700417
16.025879,-2.2413898,63.724575
16.02615,-2.2413876,63.72331
16.02633,-2.2413857,63.722466
16.026468,-2.2413838,63.72182
16.026571,-2.2413826,63.721333
16.026651,-2.2413826,63.720955
16.026712,-2.2413826,63.72067
16.031658,-2.252546,63.60555
16.031658,-2.252546,63.60555
16.035934,-2.235082,64.15831
16.039562,-2.216468,64.79308
16.041239,-2.2078657,65.113335
16.04267,-2.2015622,65.36881
16.043995,-2.197361,65.57316
16.045382,-2.1953168,65.73944
16.046537,-2.1946304,65.857414
16.047419,-2.194107,65.94737
16.04809,-2.1937082,66.01595
16.048601,-2.1934042,66.068245
16.048122,-2.1915684,66.17369
16.047327,-2.1889906,66.24571
16.046343,-2.1855993,66.29709
16.04526,-2.181344,66.3371
16.045294,-2.1813233,66.34069
