X,Y,Z
16.900528,-5.002511,34.161568
16.900528,-5.002511,34.161568
16.900528,-5.002511,34.161568
16.900528,-5.002511,34.161568
16.900528,-5.002511,34.16156
17.417934,-5.002511,34.67896
18.511602,-5.0026026,35.774284
18.823097,-5.002572,36.085915
18.720463,-5.002511,38.063744
18.673542,-5.002511,38.968063
18.671383,-5.002511,39.009674
18.671383,-5.002511,39.009674
19.797228,-5.002511,40.327496
20.901384,-5.002511,41.61993
20.901384,-5.002511,41.61993
20.933643,-5.002511,43.600082
20.966434,-5.002511,45.599895
20.998972,-5.002511,47.599495
21.0315,-5.002511,49.5994
21.064037,-5.002511,51.599
21.096575,-5.002511,53.5986
21.129156,-5.002511,55.598503
21.143084,-5.002511,56.45383
21.14376,-5.002511,56.49545
21.14376,-5.002511,56.49545
21.14376,-5.002511,56.49545
21.14376,-5.002511,56.49545
21.14376,-5.002511,56.49545
21.14376,-5.002511,56.49545
21.14376,-5.002511,56.49545
21.14376,-5.002511,56.49545
21.14376,-5.002511,56.49545
21.14376,-5.002511,56.49545
21.14376,-5.002511,56.49545
21.14376,-5.002511,56.49545
21.14376,-5.002511,56.49545
21.14376,-5.002511,56.49545
21.14376,-5.002511,56.49545
21.150599,-5.002511,56.90133
21.153952,-4.995675,57.107433
21.156296,-4.9767237,57.261414
21.157816,-4.9494715,57.36198
21.158726,-4.9169397,57.422775
21.15918,-4.8812647,57.453953
21.159296,-4.843789,57.463078
21.159157,-4.805459,57.455784
21.15883,-4.7668543,57.436264
21.158363,-4.7281885,57.407635
21.15779,-4.689706,57.372227
21.157137,-4.6514063,57.331764
21.156427,-4.6132593,57.287544
21.155674,-4.5751734,57.24053
21.155066,-4.5451746,57.20247
21.144562,-3.930856,56.565704
21.138327,-3.2117398,56.19993
21.138023,-2.8862088,56.184895
21.138077,-2.6317532,56.190186
21.138363,-2.4351895,56.208214
21.138819,-2.2846158,56.235733
21.139406,-2.171243,56.270313
21.14009,-2.0881436,56.310158
21.140846,-2.0294888,56.35392
21.141657,-1.9905483,56.4006
21.142508,-1.967538,56.44945
21.143389,-1.9574062,56.499916
21.144295,-1.9576808,56.551594
21.145218,-1.9664394,56.604164
21.146149,-1.9821864,56.657406
21.14709,-2.0038235,56.71114
21.148037,-2.0305264,56.765244
21.148783,-2.0534756,56.80805
21.144827,-2.0691018,56.676666
21.13994,-2.005896,56.49672
21.135431,-1.8797677,56.325542
21.135489,-1.8815377,56.328793
21.135527,-1.8826973,56.33096
21.135553,-1.8834908,56.33243
21.135576,-1.8842232,56.333733
21.13559,-1.8846505,56.334618
21.135605,-1.8851388,56.335403
21.143087,-2.06814,56.628113
21.151764,-2.126485,56.967766
21.151764,-2.126485,56.967937
21.151764,-2.126485,56.96807
21.151764,-2.126485,56.96807
21.139473,-2.1265953,56.934372
20.614283,-2.142678,56.92719
19.801136,-2.1665733,56.9357
19.455618,-2.1769493,56.94136
19.18194,-2.1856773,56.945583
18.964495,-2.1933067,56.948296
18.78888,-2.2008445,56.94923
18.664858,-2.2069175,56.949146
18.570297,-2.2115562,56.949085
18.4982,-2.2150962,56.94904
18.44323,-2.2177818,56.94901
18.401316,-2.2198265,56.94898
18.459312,-2.1963346,56.772144
18.28865,-2.2011228,56.752262
18.207537,-2.2028549,56.775642
18.201782,-2.203099,56.77564
18.199951,-2.2030988,56.77564
18.198757,-2.2030988,56.77564
18.198051,-2.2030988,56.77564
18.197424,-2.2030985,56.77564
18.196943,-2.2030985,56.77564
18.196619,-2.2030983,56.77564
18.163374,-2.2020445,56.789886
18.215174,-2.2176275,56.87533
18.213053,-2.2167425,56.872036
18.209942,-2.21543,56.867184
18.280554,-2.2164104,56.860268
18.282207,-2.214091,56.83145
18.312157,-2.2135053,56.842175
18.321123,-2.2119794,56.823483
17.79093,-2.2442057,56.831814
17.362011,-2.269749,56.851406
17.072609,-2.2861674,56.86614
16.864939,-2.2973673,56.877014
16.696608,-2.3055766,56.886
16.557478,-2.3111918,56.89354
16.440008,-2.314335,56.89997
16.338593,-2.3148844,56.905537
16.264149,-2.314152,56.90962
16.207388,-2.3136637,56.91273
16.16411,-2.3132057,56.9151
16.117468,-2.310535,56.897564
16.062323,-2.3076942,56.857952
16.049921,-2.3039448,56.830963
16.007256,-2.2995927,56.79819
15.982841,-2.2942872,56.77172
15.944986,-2.2946954,56.77909
15.910853,-2.2949789,56.79237
15.910237,-2.2949786,56.792397
15.91006,-2.2949786,56.792397
15.910043,-2.2949786,56.792393
15.910043,-2.2949784,56.792393
15.910043,-2.2949784,56.792393
15.910043,-2.2949784,56.792393
15.910043,-2.2949784,56.792393
15.95927,-2.311327,56.89541
15.95927,-2.311327,56.89541
15.95927,-2.3113267,56.89541
15.9275055,-2.3117886,56.93897
15.909077,-2.3105068,56.929516
15.904045,-2.3100703,56.96213
15.883072,-2.3087885,56.96096
15.898642,-2.3082266,56.9883
15.887548,-2.307464,56.99453
15.92901,-2.3236992,56.467766
16.032343,-2.3496087,55.557804
