X,Y,Z
15.810032,-5.0025005,36.22181
15.810032,-5.0025005,36.22181
15.810032,-5.0025005,36.22181
15.810032,-5.0025005,36.22181
15.820662,-5.0025,36.878956
15.844124,-5.0025005,38.357853
15.875599,-5.0025005,40.34186
15.907037,-5.0025005,42.324295
15.938476,-5.0025005,44.306725
15.9699135,-5.0025005,46.289158
16.001305,-5.0025005,48.268627
16.032701,-5.0025005,50.24835
16.052372,-5.0025005,51.48887
16.053034,-5.0025,51.530525
16.053518,-5.0025005,51.56116
16.053518,-5.0025005,51.56116
16.053518,-5.0025005,51.56116
16.053518,-5.0025005,51.56116
16.053518,-5.0025005,51.56116
16.053518,-5.0025005,51.56116
16.053518,-5.0025005,51.56116
16.053518,-5.0025005,51.56116
16.053518,-5.0079503,51.561134
16.053518,-5.0079503,51.561134
16.053518,-5.004781,51.561134
16.053518,-5.004781,51.561134
16.053518,-5.004781,51.561134
16.053518,-5.004781,51.561134
16.053518,-5.004781,51.561134
16.063152,-5.0025907,52.114162
16.064432,-4.44997,52.27069
16.048384,-3.3178942,51.474888
16.042435,-2.9159675,51.161213
16.038363,-2.6019483,50.945625
16.035688,-2.359822,50.803326
16.03406,-2.1768494,50.715786
16.03322,-2.0415063,50.669167
16.03297,-1.9436545,50.653114
16.034006,-1.8644884,50.69945
16.035534,-1.833766,50.770947
16.037067,-1.8168547,50.84315
16.038609,-1.8108056,50.91589
16.04015,-1.8133321,50.98902
16.041693,-1.8226631,51.06245
16.043236,-1.8374298,51.1361
16.04473,-1.8555567,51.207565
16.046131,-1.8753638,51.274864
16.047462,-1.896636,51.33907
16.048742,-1.919203,51.400967
16.049982,-1.9429309,51.461147
16.05119,-1.9677205,51.520046
16.05237,-1.9935038,51.577995
16.053532,-2.020245,51.635235
16.054676,-2.047944,51.691944
16.055805,-2.076643,51.74826
16.056921,-2.1062207,51.804287
16.052425,-2.1392653,51.718636
16.045755,-2.0883646,51.54932
16.03953,-1.9707125,51.381737
16.041025,-1.9941093,51.412025
16.007437,-2.0148315,51.441425
16.007463,-2.0155237,51.44272
16.00748,-2.0159833,51.44358
16.007494,-2.0163333,51.444237
16.007504,-2.0165992,51.444733
16.00751,-2.0167792,51.445072
16.007515,-2.016938,51.44537
16.032173,-2.1724186,51.75184
16.041546,-2.1963053,51.864376
16.051239,-2.2053146,51.978935
16.051239,-2.2053146,51.97893
16.481117,-1.6524503,51.64971
16.66363,-0.6525207,51.525406
16.59373,-0.2771316,51.585587
16.528456,0.013719118,51.64016
16.468517,0.23637065,51.688908
16.41241,0.40379205,51.73316
16.359016,0.52523106,51.773884
16.307516,0.6085041,51.81183
16.251808,0.6647829,51.851387
16.2039,0.69080967,51.884274
16.156134,0.6974392,51.915894
16.108343,0.688993,51.946365
16.06031,0.668922,51.9756
16.017633,0.6400534,51.99374
15.991412,0.6045839,51.996643
15.984625,0.5642078,51.992954
15.992835,0.52031547,51.98574
16.012493,0.4742845,51.97689
16.040354,0.41433808,51.778282
16.044436,0.4525974,51.55475
16.047373,0.49643323,51.45315
16.086098,0.50516295,51.426613
16.087423,0.5026659,51.426117
16.088367,0.50088835,51.42576
16.088984,0.49973094,51.42552
16.089392,0.49896145,51.425365
16.089739,0.4983119,51.425232
16.089968,0.49788007,51.425144
16.101904,0.34813634,51.734856
16.106077,0.32625416,51.848007
16.110052,0.31954417,51.96307
16.110052,0.31954417,51.963066
16.105091,0.31541523,51.967705
