X,Y,Z
15.810032,-5.0025005,36.22181
15.810032,-5.0025005,36.22181
15.810038,-5.002371,36.221813
15.810038,-5.002371,36.221813
15.820309,-5.0025005,36.856194
15.84148,-5.0025005,38.1907
15.8728485,-5.0025005,40.168674
15.90424,-5.0025005,42.148113
15.935634,-5.0025005,44.12771
15.967032,-5.0025005,46.107605
15.998426,-5.0025005,48.0872
16.02982,-5.0025005,50.06675
16.052622,-5.0025005,51.504547
16.053246,-5.0025005,51.543816
16.053246,-5.0025005,51.543816
16.053246,-5.0025005,51.543816
16.053246,-5.0025005,51.543816
16.053246,-5.0025005,51.543816
16.053246,-5.0025005,51.543816
16.053246,-5.0025005,51.543816
16.053246,-5.0025005,51.543816
16.053246,-5.0025005,51.543816
16.053246,-5.0025005,51.543816
16.053246,-5.0025005,51.543816
16.053246,-5.0025005,51.543816
16.053246,-5.0025005,51.543816
16.053246,-5.0025005,51.543816
16.060158,-5.0025,51.949646
16.06361,-4.995706,52.15574
16.066034,-4.9767566,52.309704
16.067757,-4.947442,52.42024
16.068647,-4.915306,52.478367
16.069078,-4.879888,52.507565
16.069166,-4.8426056,52.515213
16.068995,-4.8043647,52.506813
16.068628,-4.7657185,52.486465
16.06812,-4.7269855,52.457226
16.0675,-4.6883254,52.42136
16.0668,-4.649793,52.380558
16.066038,-4.611371,52.336086
16.065233,-4.572991,52.288876
16.064583,-4.542714,52.25069
16.053131,-3.9273508,51.61371
16.046486,-3.2264788,51.26683
16.045965,-2.8950317,51.245747
16.045895,-2.6360755,51.246525
16.046116,-2.4360566,51.261196
16.046556,-2.2829514,51.286217
16.047167,-2.1677895,51.31894
16.047901,-2.0833936,51.357395
16.04873,-2.0238163,51.400124
16.049633,-1.9842283,51.446033
16.050587,-1.9607292,51.494312
16.051582,-1.9501857,51.544353
16.052608,-1.9501022,51.595707
16.053656,-1.9585146,51.648037
16.05472,-1.9738997,51.701096
16.055796,-1.9951023,51.754696
16.056879,-2.0212798,51.8087
16.057964,-2.0515451,51.863007
16.052698,-2.0850163,51.755165
16.046076,-2.0302415,51.58636
16.04075,-1.97936,51.5062
16.039183,-1.9673215,51.491936
16.039238,-1.9689457,51.49469
16.039278,-1.9701425,51.496723
16.039309,-1.9710246,51.49822
16.039328,-1.9716115,51.499214
16.039345,-1.9721068,51.500053
16.039356,-1.9724369,51.500614
16.061296,-2.1260755,51.808727
16.068789,-2.1494083,51.921925
16.076155,-2.157704,52.036835
16.076155,-2.157704,52.036835
15.940768,-1.6028295,51.50432
15.877683,-0.65674686,51.25661
15.893593,-0.28892133,51.32753
15.909257,-0.0036539666,51.39652
15.924268,0.21492437,51.461575
15.93892,0.37965825,51.523663
15.953439,0.49980357,51.583485
15.967976,0.5830508,51.64158
15.982629,0.6361175,51.698357
15.997454,0.6648975,51.75412
16.012484,0.6743894,51.8091
16.027737,0.6686817,51.863483
16.043232,0.6510497,51.91739
16.059017,0.6241117,51.97091
16.079487,0.58752924,52.026432
16.096754,0.54892355,52.06165
16.105152,0.50167805,52.07496
16.105679,0.4587337,52.071426
16.087336,0.4060635,51.846973
16.07004,0.45154157,51.62363
16.055044,0.5710014,51.43424
16.056337,0.5456886,51.45398
16.057833,0.5238176,51.475018
16.05945,0.5041654,51.497025
16.05942,0.5036878,51.496906
16.059399,0.5033688,51.49683
16.059385,0.50315315,51.496777
16.059372,0.5029614,51.496727
16.059362,0.50281554,51.496693
16.059362,0.502816,51.496693
