X,Y,Z
16.900528,-5.002389,34.16156
16.900528,-5.002389,34.16156
16.900528,-5.002389,34.16156
16.900528,-5.002389,34.16156
16.317497,-5.002511,35.13327
16.317497,-5.002511,35.13327
16.297781,-5.002511,37.113506
16.277868,-5.002511,39.113255
16.257957,-5.002511,41.113007
16.237974,-5.002511,43.113056
16.218102,-5.002511,45.11281
16.198227,-5.002511,47.11256
16.178358,-5.002511,49.112614
16.158485,-5.002511,51.11237
16.155,-5.002511,51.46227
16.154587,-5.002511,51.50389
16.154587,-5.002511,51.50389
16.154587,-5.002511,51.50389
16.154587,-5.002511,51.50389
16.154587,-5.002511,51.50389
16.154587,-5.002511,51.50389
16.154587,-5.002511,51.50389
16.154587,-5.002511,51.50389
16.154587,-5.002511,51.50389
16.154587,-5.002511,51.50389
16.154587,-5.002511,51.50389
16.154587,-5.002511,51.50389
16.149803,-5.002511,52.05703
16.147284,-4.4499903,52.21356
16.152325,-3.318124,51.417534
16.154625,-2.9188626,51.100323
16.156267,-2.6112149,50.874702
16.157417,-2.3764737,50.71707
16.158205,-2.199899,50.60992
16.158726,-2.0691922,50.54023
16.1582,-1.8913356,50.664764
16.157581,-1.8747951,50.78307
16.15712,-1.8683254,50.871014
16.156693,-1.8689967,50.950665
16.156261,-1.8762599,51.028965
16.155813,-1.889352,51.109257
16.155432,-1.9043056,51.176525
16.155119,-1.9202052,51.230957
16.154825,-1.9381496,51.281223
16.154541,-1.9576503,51.32841
16.154257,-1.9791347,51.37443
16.153988,-2.000741,51.417336
16.153725,-2.0230799,51.459045
16.153442,-2.0478907,51.503227
16.153187,-2.0707788,51.542507
16.152927,-2.0939722,51.581524
16.152666,-2.1173487,51.620358
16.152403,-2.1406336,51.659054
16.152138,-2.1634607,51.697643
16.150711,-2.186673,51.60215
16.149136,-2.1363032,51.41807
16.14785,-2.020383,51.23964
16.147945,-2.0422392,51.26802
16.148056,-2.0616624,51.294098
16.148195,-2.0794585,51.319233
16.148195,-2.0797312,51.319717
16.148195,-2.0800037,51.320072
16.148195,-2.0802462,51.320305
16.148195,-2.0802445,51.320484
16.148195,-2.0802429,51.320618
16.150114,-2.217334,51.636166
16.150818,-2.2345865,51.750195
16.150818,-2.2345862,51.75019
16.150448,-1.7315031,52.34826
16.150703,-0.62993985,52.647766
16.150877,-0.22851135,52.57089
16.151005,0.07986903,52.504787
16.151093,0.31515983,52.446354
16.151152,0.50745136,52.38868
16.151178,0.62976605,52.34017
16.151173,0.71329296,52.293633
16.151148,0.76602757,52.24839
16.151106,0.79477537,52.20401
16.151047,0.804938,52.16021
16.150976,0.8007268,52.116783
16.150898,0.78543776,52.073612
16.150808,0.76157326,52.030594
16.150713,0.7310559,51.98767
16.15061,0.69547266,51.944786
16.150501,0.65583056,51.901928
16.150414,0.61231273,51.868557
16.15036,0.5613486,51.850525
16.150347,0.5124902,51.84768
16.150347,0.47293967,51.849804
16.149652,0.43219075,51.738895
16.148335,0.47166148,51.524345
16.147179,0.5856571,51.33595
16.147873,0.5601959,51.357994
16.11349,0.53824985,51.38201
16.11349,0.53623974,51.38211
16.113491,0.535753,51.382145
16.113491,0.5355103,51.382164
16.113491,0.5352676,51.382164
16.113491,0.53502476,51.38216
16.113491,0.5349043,51.38216
16.129248,0.37767893,51.687763
16.135359,0.35316214,51.800278
16.141731,0.34342822,51.915
16.141731,0.34342822,51.914997
16.145092,0.33897272,51.91824
16.154547,0.32643002,51.927353
16.168522,0.30784488,51.940823
16.185835,0.28483468,51.957516
16.205622,0.25858963,51.97661
16.227243,0.22996412,51.997467
16.250217,0.19956867,52.019646
16.276114,0.16541955,52.044678
16.300318,0.13362029,52.068085
16.325201,0.101119116,52.092167
16.350584,0.0680991,52.11675
16.376333,0.034804475,52.141712
16.39677,0.008498373,52.161533
16.426731,-0.030045222,52.19059
16.439436,-0.046402644,52.202904
16.987017,-0.45185903,52.281265
17.446411,-0.80973864,52.340843
17.670061,-0.99763536,52.36905
17.845465,-1.1489719,52.39077
17.985126,-1.2738193,52.40747
18.108427,-1.3890537,52.421284
18.186144,-1.4640049,52.429443
18.738123,-1.967209,52.839176
19.68936,-2.8091583,53.74703
20.311441,-3.370407,54.381966
20.591055,-3.632492,54.675907
20.821917,-3.8585358,54.923275
20.959488,-3.9990997,55.074112
21.10154,-4.160232,55.236862
21.230057,-4.591293,55.377777
21.716982,-5.0025415,55.427853
21.716982,-5.0025415,55.427853
23.602558,-5.0025415,55.27653
25.596119,-5.002511,55.116543
27.589499,-5.002267,54.956566
27.788767,-5.002511,54.940575
27.788767,-5.002511,54.940575
27.788767,-5.002511,54.940575
27.788767,-5.002511,54.940575
27.788767,-5.002511,54.940575
27.788767,-5.002511,54.940575
27.787338,-5.0075464,54.940575
27.787338,-5.0075464,54.940575
27.787338,-5.0075464,54.940575
27.787338,-5.0043116,54.940575
27.787338,-5.0043116,54.940575
27.787338,-5.0043116,54.940575
28.3388,-5.0026636,54.89886
28.494398,-4.4507837,54.885216
27.750696,-3.3815396,54.935337
27.44444,-2.9915555,54.956207
27.22693,-2.6898587,54.97103
27.075304,-2.457925,54.981365
26.972584,-2.2819912,54.98837
26.906172,-2.1506436,54.9929
26.866714,-2.0541165,54.99561
26.851498,-1.984872,54.99669
26.858881,-1.9370509,54.996258
26.88456,-1.9026271,54.994614
26.921064,-1.885049,54.992264
26.967093,-1.8772365,54.989292
27.020235,-1.8769618,54.98586
27.078697,-1.8825465,54.98208
27.141129,-1.8927089,54.97804
27.206532,-1.9064723,54.97382
27.274153,-1.9230434,54.96945
27.338974,-1.9409572,54.965267
27.39694,-1.9592372,54.961525
27.449818,-1.9778224,54.958107
27.498919,-1.9966823,54.954926
27.545212,-2.0157864,54.951923
27.589422,-2.0350735,54.949043
27.635614,-2.0560086,54.946026
27.676193,-2.07496,54.943363
27.71616,-2.093942,54.94074
27.755674,-2.1128628,54.93814
27.794853,-2.1316006,54.935555
27.83378,-2.1500943,54.93298
27.872522,-2.1681607,54.930416
27.911127,-2.1857388,54.927853
27.856825,-2.20526,54.92453
27.671814,-2.1628475,54.92045
27.488668,-2.0558417,54.917816
27.496017,-2.0590749,54.917328
27.522043,-2.0775018,54.917324
27.523705,-2.078202,54.917213
27.524075,-2.0784762,54.91718
27.52435,-2.078506,54.917156
27.52453,-2.0785053,54.917156
27.524668,-2.0785046,54.917152
27.524668,-2.078504,54.917152
27.83843,-2.2196257,54.919476
27.952232,-2.2383342,54.92025
27.952232,-2.238334,54.92025
28.555986,-1.7434912,54.897636
28.869036,-0.64467496,54.888035
28.79733,-0.24132402,54.89118
28.735239,0.06885674,54.8938
28.679901,0.30588686,54.89603
28.624779,0.49997878,54.898132
28.577913,0.62375814,54.899803
28.528778,0.7168674,54.901447
28.485273,0.7685337,54.902805
28.442055,0.79654896,54.904076
28.398972,0.8062842,54.905277
28.355938,0.8018592,54.90643
28.312902,0.78656995,54.907547
28.269833,0.76288843,54.90863
28.22671,0.73264563,54.90968
28.183525,0.69733685,54.91071
