X,Y,Z
15.810032,-5.0025005,36.22181
15.810032,-5.0025005,36.22181
15.810038,-5.002371,36.221813
15.810038,-5.002371,36.221813
15.820927,-5.0025005,36.895107
15.841887,-5.0025005,38.216377
15.8767185,-5.0025,40.41269
15.907998,-5.0025,42.385067
15.939277,-5.0025,44.35744
15.970561,-5.0025005,46.330067
16.001911,-5.0025005,48.306896
16.033264,-5.0025005,50.283978
16.05293,-5.0025005,51.52403
16.05359,-5.0025,51.565655
16.05359,-5.0025,51.565655
16.05359,-5.0025,51.565655
16.05359,-5.0025,51.565655
16.05359,-5.0025,51.565655
16.05359,-5.0025,51.565655
16.05359,-5.0025,51.565655
16.05359,-5.0025,51.565655
16.05359,-5.0025,51.565655
16.05359,-5.0025,51.565655
16.05359,-5.0025,51.565655
16.05359,-5.0025,51.565655
16.05359,-5.0025,51.565655
16.05359,-5.0025,51.565655
16.060503,-5.002507,51.97143
16.058668,-4.9957094,52.1746
16.051693,-4.9767947,52.323296
16.046799,-4.9495616,52.419933
16.043266,-4.9145293,52.48381
16.041433,-4.8794913,52.51121
16.040562,-4.8425326,52.51753
16.040413,-4.8045583,52.50815
16.04081,-4.766125,52.487083
16.041618,-4.7275558,52.457314
16.042736,-4.689015,52.421066
16.04409,-4.6505613,52.379993
16.045626,-4.6121826,52.335323
16.0473,-4.573814,52.287983
16.048672,-4.5435348,52.249714
16.070492,-3.9279644,51.613365
16.080915,-3.2269752,51.26732
16.081139,-2.8955212,51.24655
16.080812,-2.636557,51.247566
16.080164,-2.436525,51.262413
16.079287,-2.2834005,51.287556
16.078247,-2.168217,51.32037
16.077095,-2.0838017,51.35889
16.075861,-2.0242126,51.401657
16.07457,-1.984622,51.44759
16.073238,-1.9611313,51.49588
16.071877,-1.9506073,51.54592
16.070381,-1.9501824,51.601406
16.069012,-1.958765,51.65262
16.067617,-1.9743567,51.704834
16.066204,-1.9957824,51.757797
16.064774,-2.0221872,51.81132
16.063318,-2.052633,51.865253
16.053461,-2.0862546,51.756844
16.044674,-2.0314972,51.587795
16.038294,-1.9858202,51.516308
16.036417,-1.9715174,51.49818
16.036377,-1.972371,51.499615
16.036352,-1.9729389,51.50057
16.036333,-1.9733231,51.501217
16.036318,-1.9736634,51.50179
16.036308,-1.973894,51.50218
16.036299,-1.9740975,51.50252
16.058207,-2.127701,51.81024
16.065685,-2.150937,51.92316
16.073048,-2.1592245,52.03795
16.073048,-2.1592243,52.037945
15.962405,-1.6036248,51.499596
15.906628,-0.6428804,51.235126
15.919834,-0.28039345,51.311756
15.932794,6.615139E-4,51.38518
15.945217,0.21593547,51.453686
15.9573765,0.37812066,51.51848
15.969482,0.49636966,51.58046
15.981675,0.578245,51.6403
15.994045,0.63032377,51.69851
16.006645,0.6583819,51.755478
16.019505,0.6673283,51.811493
16.032644,0.66118956,51.86677
16.046091,0.6432042,51.921474
16.059927,0.6159682,51.975708
16.072525,0.5816908,52.016216
16.080433,0.5422221,52.03243
16.082268,0.4940482,52.029903
16.081516,0.45622742,52.022106
16.067032,0.424469,51.80503
16.051603,0.48014125,51.585304
16.037415,0.60433555,51.39758
16.03899,0.5804026,51.41782
16.040634,0.55933803,51.43913
16.042324,0.5399566,51.461243
16.042316,0.5395951,51.461163
16.042313,0.539355,51.461113
16.042309,0.5391722,51.46107
16.042307,0.53906536,51.46105
16.042307,0.53906703,51.461044
16.042307,0.53906846,51.461044
16.0642,0.38370606,51.767223
