X,Y,Z
16.900528,-5.002511,34.161568
16.900528,-5.002511,34.161568
16.900528,-5.002511,34.161568
16.900528,-5.002511,34.161568
16.579315,-5.002511,34.69692
16.338741,-5.002511,35.09788
16.256735,-5.002511,35.234562
16.253576,-5.002511,35.81702
16.24381,-5.002511,37.816856
16.23391,-5.002511,39.816956
16.224146,-5.002511,41.816784
16.21438,-5.002511,43.816612
16.204617,-5.002511,45.816742
16.19485,-5.002511,47.81657
16.185123,-5.002511,49.816402
16.175356,-5.002511,51.816532
16.165627,-5.002511,53.81636
16.15586,-5.002511,55.81619
16.152664,-5.002511,56.471947
16.152462,-5.002511,56.513573
16.152462,-5.002511,56.513573
16.152462,-5.002511,56.513573
16.152462,-5.002511,56.513573
16.152462,-5.002511,56.513573
16.152462,-5.002511,56.513573
16.152462,-5.002511,56.513573
16.152462,-5.002511,56.513573
16.152462,-5.002511,56.513573
16.152462,-5.002511,56.513573
16.152462,-5.002511,56.513573
16.152462,-5.002511,56.513573
16.152462,-5.002511,56.513573
16.920547,-5.002511,57.204636
16.920547,-5.002511,57.204636
16.920547,-5.002511,57.204636
17.777828,-5.002511,57.348866
17.777828,-5.002511,57.348866
19.243925,-5.002511,58.680225
20.612461,-5.0026636,59.92224
20.82413,-5.002572,60.114723
20.8529,-5.0025415,60.14089
20.8529,-5.0025415,60.14089
21.089888,-5.0048,61.55085
21.089888,-5.0048,61.55085
21.089884,-5.0029993,61.550835
21.089884,-5.0026636,61.550835
21.089884,-5.0025415,61.550835
21.089884,-5.002511,61.550835
21.089884,-5.002511,61.550835
21.089884,-5.002511,61.550835
21.089884,-5.002511,61.550835
21.089884,-5.002511,61.550835
21.089884,-5.002511,61.550835
21.089884,-5.002511,61.550835
21.089884,-5.002511,61.550835
21.089884,-5.002511,61.550835
21.089884,-5.002511,61.550835
21.089884,-5.002511,61.550835
21.089884,-5.002511,61.550835
19.928118,-5.0051355,60.2694
19.390882,-5.0036707,59.67674
19.390882,-5.0036707,59.67674
19.21023,-5.0063868,57.97573
19.200588,-5.0048304,57.884636
19.1965,-5.0038843,57.84599
19.193289,-5.003396,57.815628
19.193289,-5.003396,57.815628
19.193289,-5.0026636,57.815636
19.193289,-5.002572,57.815636
19.193289,-5.0025415,57.815636
19.193289,-5.002511,57.815636
19.193289,-5.002511,57.815636
19.193289,-5.002511,57.815636
19.193289,-5.002511,57.815636
19.193289,-5.002511,57.815636
19.193289,-5.002511,57.815636
19.193289,-5.002511,57.815636
19.193289,-5.002511,57.815636
19.193289,-5.002511,57.815636
18.903427,-5.002511,58.13389
18.903427,-5.002511,58.13389
18.903427,-5.002511,58.13389
18.786362,-5.002511,59.88256
18.673044,-5.008065,61.575344
18.673044,-5.008065,61.575344
17.928688,-5.0034876,62.54807
17.903378,-5.0031214,62.581146
17.903378,-5.0031214,62.581146
16.174263,-5.0026026,62.701355
14.182463,-5.0060205,62.83986
13.484246,-5.0041285,62.888374
13.484246,-5.0041285,62.888374
13.484252,-5.0028467,62.888374
13.484252,-5.0026026,62.888374
13.484252,-5.0025415,62.888374
13.484252,-5.002511,62.888374
13.484252,-5.002511,62.888374
13.484252,-5.002511,62.888374
13.484252,-5.002511,62.888374
13.484252,-5.002511,62.888374
13.484252,-5.002511,62.888374
13.484252,-5.002511,62.888374
13.484252,-5.002511,62.888374
13.484252,-5.002511,62.888374
13.484252,-5.002511,62.888374
13.484252,-5.002511,62.888374
13.484252,-5.002511,62.888374
13.484252,-5.002511,62.888374
13.484252,-5.002511,62.888374
13.618071,-5.002511,64.11428
13.618071,-5.002511,64.11428
13.895711,-5.002511,64.530014
13.918829,-5.002511,64.56463
13.918829,-5.002511,64.56463
13.918829,-5.002511,64.56463
15.642554,-5.0098047,64.705956
17.635708,-5.0042505,64.86932
17.691044,-5.0036707,64.87387
17.746399,-5.0032434,64.87841
17.746399,-5.0032434,64.87841
17.746395,-5.002694,64.87841
18.30913,-5.002572,64.587845
18.30913,-5.002572,64.587845
18.30913,-5.0025415,64.587845
18.30913,-5.002511,64.587845
18.30913,-5.002511,64.587845
18.39743,-5.002572,62.862225
18.49955,-5.002511,60.864853
18.60167,-5.002511,58.86748
18.632294,-5.002511,58.268272
18.632294,-5.002511,58.268272
18.632294,-5.002511,58.268272
18.632294,-5.002511,58.268272
18.632294,-5.002511,58.268272
18.632294,-5.002511,58.268272
18.632294,-5.002511,58.268272
18.632294,-5.002511,58.268272
18.632294,-5.002511,58.268272
18.632294,-5.002511,58.268272
18.632294,-5.002511,58.268272
18.632294,-5.002511,58.268272
18.632294,-5.002511,58.268272
18.632294,-5.002511,58.268272
18.632294,-5.002511,58.268272
18.640959,-5.002511,60.001442
18.648252,-5.002511,61.45688
18.64846,-5.002511,61.49851
18.64846,-5.002511,61.49851
18.64846,-5.002511,61.49851
18.64846,-5.002511,61.49851
18.64846,-5.002511,61.49851
18.64846,-5.002511,61.49851
18.64846,-5.002511,61.49851
18.64846,-5.002511,61.49851
18.64846,-5.002511,61.49851
