X,Y,Z
15.810038,-5.002371,36.221813
15.810038,-5.002371,36.221813
15.810038,-5.002371,36.221813
15.810038,-5.002371,36.221813
15.810038,-5.002498,36.221813
17.018206,-5.0025005,37.429905
18.285114,-5.004418,38.69694
18.285114,-5.004418,38.69694
18.326004,-5.0027876,40.671432
18.367416,-5.0025687,42.67096
18.408802,-5.002516,44.67047
18.450212,-5.002504,46.669666
18.489105,-5.0025005,48.547142
18.530115,-5.0025,50.527203
18.550621,-5.0025005,51.517128
18.551483,-5.0025005,51.558784
18.551483,-5.0025005,51.558784
18.551483,-5.0025005,51.558784
18.551483,-5.0025005,51.558784
18.551483,-5.0025005,51.558784
18.551483,-5.0025005,51.558784
18.551483,-5.0025005,51.558784
18.551483,-5.0025005,51.558784
18.551483,-5.0079503,51.558784
18.551483,-5.0079503,51.558784
18.551483,-5.004781,51.558784
18.551483,-5.004781,51.558784
18.551483,-5.004781,51.558784
18.551483,-5.004781,51.558784
18.381376,-5.00286,51.701748
18.381376,-5.00286,51.701748
16.709356,-5.00256,51.896267
16.519033,-5.002533,51.91841
16.477688,-5.0025206,51.92322
16.477688,-5.0025206,51.92322
16.477688,-5.002512,51.92322
16.477688,-5.002512,51.92322
16.477688,-5.002512,51.92322
16.477688,-5.002512,51.92322
16.477688,-5.002512,51.92322
16.477688,-5.002512,51.92322
16.477688,-5.002512,51.92322
16.477688,-5.002512,51.92322
16.477688,-5.002512,51.92322
16.477688,-5.002512,51.92322
16.791006,-5.0025,52.218376
16.791006,-5.0025,52.218376
16.791006,-5.0025,52.218376
18.49798,-5.0025005,52.333363
20.176619,-5.0025005,52.446064
20.176619,-5.0025005,52.446064
20.671663,-5.0025005,52.740574
20.70746,-5.0025,52.761887
20.70746,-5.0025,52.761887
20.70746,-5.0025,52.761887
20.850708,-5.0066814,54.47093
21.017477,-5.0068355,56.463676
21.02211,-5.0053687,56.519276
21.026747,-5.0043077,56.57486
21.026747,-5.0043077,56.57486
21.026747,-5.0029783,56.57486
21.026747,-5.002772,56.57486
20.268034,-5.0025754,57.671246
20.268034,-5.0025754,57.671246
19.510654,-5.002518,57.859688
19.470335,-5.0025115,57.86972
19.470335,-5.0025115,57.86972
19.470335,-5.002503,57.86972
19.470335,-5.002503,57.86972
19.470335,-5.002503,57.86972
19.470335,-5.002503,57.86972
19.470335,-5.002503,57.86972
19.470335,-5.002503,57.86972
19.470335,-5.002503,57.86972
19.470335,-5.002503,57.86972
19.470335,-5.002503,57.86972
19.470335,-5.002503,57.86972
19.470335,-5.002503,57.86972
19.470335,-5.002503,57.86972
19.470335,-5.002503,57.86972
19.470335,-5.002503,57.86972
19.470335,-5.002503,57.86972
19.312225,-5.0025005,58.10185
19.288784,-5.0025005,58.136242
19.288784,-5.0025005,58.136242
19.130272,-5.003914,59.754276
19.106733,-5.003226,59.994755
19.102676,-5.002958,60.036213
19.09943,-5.0027885,60.069378
19.09943,-5.0027885,60.069378
19.09943,-5.0025845,60.069378
19.09943,-5.0025845,60.069378
19.09943,-5.0025845,60.069378
19.09943,-5.0025845,60.069378
19.09943,-5.0025845,60.069378
19.09943,-5.0025845,60.069378
19.09943,-5.0025845,60.069378
19.09943,-5.0025845,60.069378
19.09943,-5.0025845,60.069378
19.07574,-5.0107713,61.798546
19.066298,-5.0057855,62.504173
19.06574,-5.004571,62.5458
19.06574,-5.004571,62.5458
19.06574,-5.004571,62.5458
19.06574,-5.004571,62.5458
19.06574,-5.004571,62.5458
19.06574,-5.004571,62.5458
19.06574,-5.004571,62.5458
19.06574,-5.004571,62.5458
19.06574,-5.004571,62.5458
19.06574,-5.004571,62.5458
19.06574,-5.004571,62.5458
19.062296,-5.007455,64.27562
19.06087,-5.00437,65.031006
19.060791,-5.0036783,65.07265
19.060791,-5.0036783,65.07265
19.060791,-5.0036783,65.07265
19.060791,-5.0036783,65.07265
19.060791,-5.0036783,65.07265
19.060791,-5.0036783,65.07265
19.060791,-5.0036783,65.07265
19.060791,-5.0036783,65.07265
19.060791,-5.0036783,65.07265
19.060791,-5.0036783,65.07265
19.074337,-5.002508,65.06991
19.087908,-5.0025053,65.06717
19.101488,-5.0025034,65.06442
19.115082,-5.0025024,65.061676
19.128687,-5.0025015,65.05893
19.142292,-5.002501,65.05618
19.142292,-5.002501,65.05618
20.864563,-5.0025005,64.99629
21.259214,-5.0025005,64.98241
21.259214,-5.0025005,64.98241
21.259214,-5.0025005,64.98241
21.259214,-5.0025005,64.98241
21.259214,-5.0025005,64.98241
21.259214,-5.0025005,64.98241
21.259214,-5.0025005,64.98241
21.259214,-5.0025005,64.98241
21.259214,-5.0025005,64.98241
21.259214,-5.0025005,64.98241
21.259214,-5.0025005,64.98241
21.259214,-5.0025005,64.98241
21.259214,-5.0025005,64.98241
21.259214,-5.0025005,64.98241
21.259214,-5.0025005,64.98241
22.963219,-5.0025005,64.97597
23.600754,-5.0025005,64.97356
23.63686,-5.0025,64.97342
23.63686,-5.0025,64.97342
23.63686,-5.0025,64.97342
23.63686,-5.0025,64.97342
23.63686,-5.00795,64.97342
23.63686,-5.00795,64.97342
23.63686,-5.004781,64.97342
23.63686,-5.004781,64.97342
23.63686,-5.004781,64.97342
23.63686,-5.004781,64.97342
23.63686,-5.004781,64.97342
25.370148,-5.0026107,64.972466
26.075815,-5.002544,64.97208
26.114578,-5.0025268,64.97205
26.14513,-5.0025167,64.97204
26.14513,-5.0025167,64.97204
26.14513,-5.0025167,64.97204
26.14513,-5.0025167,64.97204
26.14513,-5.0025167,64.97204
26.14513,-5.0025167,64.97204
26.14513,-5.0025167,64.97204
26.14513,-5.0025167,64.97204
26.14513,-5.0025167,64.97204
26.14513,-5.0025167,64.97204
26.14513,-5.0025167,64.97204
27.86221,-5.0025005,64.97191
28.600182,-5.0025,64.97185
28.63911,-5.0025005,64.97185
28.63911,-5.0025005,64.97185
28.63911,-5.0025005,64.97185
28.63911,-5.0025005,64.97185
28.639082,-5.0079503,64.97185
28.639082,-5.0079503,64.97185
28.639082,-5.004781,64.97185
28.639082,-5.004781,64.97185
28.639082,-5.004781,64.97185
28.639082,-5.004781,64.97185
28.639082,-5.004781,64.97185
30.37237,-5.0026164,64.971825
31.078026,-5.0025463,64.971825
31.116783,-5.0025277,64.971825
31.147335,-5.0025177,64.971825
31.147335,-5.0025177,64.971825
31.147335,-5.0025177,64.971825
31.147335,-5.0025177,64.971825
31.147335,-5.0025177,64.971825
31.147335,-5.0025177,64.971825
31.147335,-5.0025177,64.971825
31.147335,-5.0025177,64.971825
31.147335,-5.0025177,64.971825
31.147335,-5.0025177,64.971825
31.288692,-5.002501,64.80056
31.288692,-5.002501,64.80056
31.482885,-5.005512,63.134228
31.504732,-5.0040464,62.94666
31.50955,-5.0034747,62.905293
31.513403,-5.0031147,62.872196
31.513403,-5.0031147,62.872196
31.513403,-5.0026197,62.8722
31.513403,-5.0025477,62.8722
31.513403,-5.0025477,62.8722
31.513403,-5.0025477,62.8722
31.513403,-5.0025477,62.8722
31.513403,-5.0025477,62.8722
31.513403,-5.0025477,62.8722
31.513403,-5.0025477,62.8722
31.513403,-5.0025477,62.8722
31.513403,-5.0025477,62.8722
31.513403,-5.0025477,62.8722
31.513403,-5.0025477,62.8722
31.513403,-5.0025477,62.8722
31.513403,-5.0025477,62.8722
31.541136,-5.0040226,61.14742
31.552479,-5.003105,60.44196
31.553148,-5.0028815,60.40031
31.553148,-5.0028815,60.40031
31.553148,-5.002601,60.400314
31.553148,-5.002601,60.400314
31.553148,-5.002601,60.400314
31.553148,-5.002601,60.400314
31.553148,-5.002601,60.400314
31.553148,-5.002601,60.400314
31.553148,-5.002601,60.400314
31.553148,-5.002601,60.400314
31.553148,-5.002601,60.400314
31.557232,-5.001731,58.667374
31.558952,-5.0026126,57.934147
31.55905,-5.002571,57.89263
31.55905,-5.002571,57.89263
31.55905,-5.002571,57.89263
31.55905,-5.002571,57.89263
31.55905,-5.002571,57.89263
31.55905,-5.002571,57.89263
31.55905,-5.002571,57.89263
31.55905,-5.002571,57.89263
31.55905,-5.002571,57.89263
31.55905,-5.002571,57.89263
31.55905,-5.002571,57.89263
31.559631,-5.002112,56.162075
31.559883,-5.0025,55.42583
31.559896,-5.0025005,55.386555
31.559896,-5.0025005,55.386555
31.559896,-5.0025005,55.386555
31.559896,-5.0025005,55.386555
31.559896,-5.0025005,55.386555
31.559896,-5.0025005,55.386555
31.559896,-5.0025005,55.386555
31.559896,-5.0025005,55.386555
31.559896,-5.0025005,55.386555
31.559896,-5.0025005,55.386555
31.392794,-5.0025005,55.24793
31.392794,-5.0025005,55.24793
31.392794,-5.0025005,55.24793
31.392794,-5.0025005,55.24793
31.145302,-5.0038705,53.55527
31.116388,-5.0035686,53.357376
31.116388,-5.0035686,53.357376
30.80461,-5.0027966,52.861107
30.782448,-5.002687,52.82583
30.782448,-5.002687,52.82583
30.782448,-5.0025578,52.82583
29.056934,-5.0025134,52.66172
27.364845,-5.002504,52.500786
27.364845,-5.002504,52.500786
27.364845,-5.002504,52.500786
27.364845,-5.002504,52.500786
26.300926,-5.0025005,53.292255
26.300926,-5.0025005,53.292255
26.199947,-5.003765,55.25358
26.102,-5.0028167,57.1565
26.084438,-5.002647,57.497696
26.082296,-5.0025926,57.539307
26.080584,-5.0025587,57.57259
26.080584,-5.0025587,57.57259
26.080584,-5.002515,57.57259
26.080584,-5.0025063,57.57259
26.080584,-5.0025063,57.57259
26.080584,-5.0025063,57.57259
26.080584,-5.0025063,57.57259
26.080584,-5.0025063,57.57259
26.080584,-5.0025063,57.57259
