X,Y,Z
16.900528,-5.002511,34.161568
16.900528,-5.002511,34.161568
16.900528,-5.0108485,34.161568
16.900528,-5.002389,34.16156
16.761257,-5.002511,34.57938
16.704386,-5.002511,34.749992
16.38698,-5.002511,35.130676
16.274963,-5.002511,35.26448
16.263657,-5.002511,37.233753
16.252026,-5.002511,39.23384
16.240543,-5.002511,41.233665
16.229061,-5.002511,43.23349
16.217579,-5.002511,45.233616
16.206097,-5.002511,47.233444
16.194614,-5.002511,49.23327
16.183132,-5.002511,51.233395
16.17165,-5.002511,53.23322
16.160168,-5.002511,55.233047
16.15324,-5.002511,56.438766
16.153002,-5.002511,56.480396
16.153002,-5.002511,56.480396
16.153002,-5.002511,56.480396
16.153002,-5.002511,56.480396
16.153002,-5.002511,56.480396
16.153002,-5.002511,56.480396
16.153002,-5.002511,56.480396
16.153002,-5.002511,56.480396
16.153002,-5.002511,56.480396
16.153002,-5.002511,56.480396
16.153002,-5.002511,56.480396
16.153002,-5.002511,56.480396
16.151218,-5.002511,54.991665
16.151054,-5.002511,54.85283
16.151009,-5.002511,54.813984
16.151009,-5.002511,54.813984
16.151009,-5.002511,54.813984
16.151009,-5.002511,54.813984
16.151009,-5.002511,54.813984
16.151009,-5.002511,54.813984
16.151009,-5.002511,54.813984
16.151009,-5.002511,54.813984
16.151009,-5.002511,54.813984
16.151009,-5.002511,54.813984
16.151009,-5.002511,54.813984
16.151009,-5.002511,54.813984
16.150715,-5.002511,53.080814
16.150606,-5.002511,52.375053
16.150599,-5.002511,52.333427
16.150599,-5.002511,52.333427
16.150599,-5.002511,52.333427
16.150599,-5.002511,52.333427
16.150599,-5.002511,52.333427
16.150599,-5.002511,52.333427
16.150599,-5.002511,52.333427
16.150599,-5.002511,52.333427
16.150599,-5.002511,52.333427
16.150599,-5.002511,52.333427
16.320381,-5.002511,52.19016
16.320381,-5.002511,52.19016
18.161322,-5.002511,52.00894
18.714115,-5.002511,51.95453
18.752775,-5.002511,51.95072
18.752775,-5.002511,51.95072
18.752775,-5.002511,51.95072
18.752775,-5.002511,51.95072
18.752775,-5.002511,51.95072
18.752775,-5.002511,51.95072
18.752775,-5.002511,51.95072
18.752775,-5.002511,51.95072
18.752775,-5.002511,51.95072
18.752775,-5.002511,51.95072
18.752775,-5.002511,51.95072
18.752775,-5.002511,51.95072
18.752775,-5.002511,51.95072
18.752775,-5.002511,51.95072
18.236416,-5.002511,51.752113
18.080414,-4.4569483,51.691452
18.792229,-3.3953335,51.966747
19.102365,-2.9816372,52.087048
19.309065,-2.6663601,52.16724
19.431517,-2.4493802,52.21477
19.509556,-2.2835782,52.245075
19.563906,-2.136514,52.266193
19.583996,-2.0433743,52.274014
19.581438,-1.9853603,52.273033
19.560003,-1.9393092,52.26472
19.528505,-1.918008,52.25249
19.486584,-1.9063197,52.236214
19.442041,-1.9032985,52.218914
19.39561,-1.906808,52.200874
19.351349,-1.9148036,52.183678
19.30525,-1.9264003,52.165768
19.257782,-1.9408046,52.14732
19.20538,-1.9587795,52.12696
19.15718,-1.9769984,52.108234
19.104187,-1.9982692,52.087646
19.051674,-2.0205777,52.067238
18.999506,-2.043771,52.046967
18.94759,-2.0677578,52.0268
18.899706,-2.0907376,52.0082
18.846966,-2.1168606,51.987713
18.809107,-2.1359646,51.973007
18.7956,-2.1404836,51.725662
18.670063,-2.0703006,51.500034
18.620068,-2.061869,51.47654
18.646523,-2.0498462,51.44533
18.641893,-2.0351436,51.420307
18.675133,-2.0192337,51.394485
18.67467,-2.0195084,51.394302
18.674362,-2.0197525,51.394184
18.674152,-2.019844,51.394104
18.673967,-2.019844,51.394035
18.673828,-2.019844,51.393974
18.673784,-2.019844,51.39396
18.677792,-2.1687968,51.70406
18.679504,-2.190323,51.817345
18.681362,-2.1969507,51.93247
18.681362,-2.1969507,51.93247
18.128094,-2.2038171,51.929058
17.282146,-2.2141626,51.924793
16.921717,-2.2186792,51.923107
16.636261,-2.222494,51.921703
16.409597,-2.2259119,51.920456
16.2512,-2.228567,51.919495
16.130428,-2.230581,51.91877
16.038347,-2.2321374,51.918217
15.968139,-2.233297,51.917797
15.914611,-2.2341821,51.917477
15.865209,-2.235006,51.91718
15.759114,-2.2078435,51.691868
15.664388,-2.2089825,51.718254
15.651446,-2.2089825,51.718163
15.646554,-2.2089825,51.71815
15.645131,-2.2089825,51.71815
15.644183,-2.2089825,51.71815
15.643462,-2.2089825,51.71815
15.642852,-2.2089825,51.71815
15.642446,-2.2089825,51.71815
15.642135,-2.2089825,51.71815
15.697469,-2.2302911,51.81681
15.7541,-2.236697,51.917053
15.7541,-2.236697,51.917053
15.748845,-2.236819,51.92136
15.734027,-2.2372158,51.933495
15.712083,-2.237765,51.95145
15.684827,-2.2384365,51.973732
15.653617,-2.2391384,51.999214
15.619456,-2.2399623,52.027092
15.578967,-2.240939,52.060112
15.542069,-2.2418544,52.0902
15.500602,-2.2428615,52.12401
15.470538,-2.243594,52.148518
15.426467,-2.244662,52.184444
