X,Y,Z
16.900528,-5.002389,34.16156
16.900528,-5.002389,34.16156
16.900528,-5.002389,34.16156
16.900528,-5.002389,34.16156
16.900528,-5.002511,34.16156
18.116745,-5.002511,35.37827
18.3997,-5.002511,35.66096
18.3997,-5.002511,35.66096
18.531832,-5.002511,37.636974
18.619076,-5.002511,38.939777
18.62166,-5.002511,38.978554
18.623507,-5.002511,39.006245
18.623507,-5.002511,39.006245
19.760939,-5.002511,40.313953
20.942154,-5.002511,41.672005
20.942154,-5.002511,41.672005
20.969236,-5.002511,43.652237
20.9967,-5.002511,45.65218
21.024012,-5.002511,47.65189
21.051325,-5.002511,49.651604
21.078632,-5.002511,51.651634
21.105982,-5.002511,53.651318
21.133293,-5.002511,55.651005
21.1443,-5.002511,56.456387
21.14487,-5.002511,56.498013
21.14487,-5.002511,56.498013
21.14487,-5.002511,56.498013
21.14487,-5.002511,56.498013
21.14487,-5.002511,56.498013
21.14487,-5.002511,56.498013
21.14487,-5.002511,56.498013
21.14487,-5.002511,56.498013
21.14487,-5.002511,56.498013
21.14487,-5.002511,56.498013
21.14487,-5.002511,56.498013
21.14487,-5.002511,56.498013
21.14487,-5.002511,56.498013
21.14487,-5.002511,56.498013
21.14487,-5.002511,56.498013
21.152975,-5.002511,57.051052
21.15432,-4.4498377,57.2076
21.141323,-3.317483,56.411774
21.136395,-2.9180384,56.094635
21.132898,-2.6103296,55.869064
21.130455,-2.375558,55.711468
21.1288,-2.1990442,55.604332
21.127731,-2.0683374,55.53467
21.129997,-1.8956995,55.661438
21.131847,-1.8794031,55.769325
21.133385,-1.8714685,55.85928
21.134768,-1.8709803,55.940422
21.136112,-1.8772364,56.019833
21.137354,-1.8881311,56.093468
21.138435,-1.901742,56.157997
21.139402,-1.9176722,56.21576
21.140354,-1.9369287,56.27296
21.141146,-1.9559107,56.320786
21.141893,-1.9762659,56.36615
21.142605,-1.9976892,56.409683
21.143293,-2.0199366,56.451862
21.14396,-2.0428247,56.493042
21.144615,-2.0660791,56.53347
21.145254,-2.0895777,56.57334
21.145885,-2.1131678,56.6128
21.146507,-2.1366663,56.65196
21.147127,-2.1597376,56.690884
21.144068,-2.1834893,56.595917
21.13904,-2.1333973,56.412193
21.134348,-2.0178187,56.234394
21.1344,-2.0197067,56.237667
21.134432,-2.020985,56.239838
21.134462,-2.0219576,56.241493
21.134478,-2.0226865,56.242752
21.134493,-2.0232322,56.24371
21.142199,-2.1913126,56.54566
21.150925,-2.2322598,56.887966
21.150925,-2.2324126,56.88818
21.142267,-1.6383895,57.397373
21.137136,-0.62590903,57.7241
21.137407,-0.30947274,57.698685
21.137774,-0.043848205,57.66701
21.1382,0.15295918,57.63298
21.13868,0.29669645,57.597538
21.139202,0.39902142,57.561348
21.139723,0.4628943,57.527542
21.140278,0.5054354,57.49293
21.14087,0.5310087,57.457798
21.141489,0.54306275,57.42236
21.142128,0.5445272,57.386734
21.142782,0.53759927,57.351017
21.143454,0.52411014,57.31525
21.14413,0.505494,57.279465
21.144873,0.48126253,57.24077
21.145601,0.45422354,57.20292
21.146263,0.42721507,57.168476
21.146929,0.3983756,57.1337
21.147512,0.37243524,57.1032
21.142538,0.34524125,56.827133
21.137365,0.39752737,56.586388
21.132607,0.51410085,56.383343
21.007668,0.5105684,56.382355
20.51691,0.4908113,56.415524
20.174368,0.47135526,56.45464
20.009733,0.47061113,56.464188
20.33995,0.47372916,56.35701
20.500181,0.47518563,56.305607
20.636312,0.47575143,56.263493
20.707207,0.4760088,56.242695
20.774204,0.45901737,56.25091
20.788967,0.45902202,56.24619
20.793262,0.45902425,56.24482
20.79612,0.45902625,56.24391
20.798298,0.4590282,56.24321
20.799774,0.45903,56.24274
20.801083,0.45903194,56.24232
20.839605,0.32350317,56.555794
20.854462,0.30680922,56.66873
20.854757,0.30680948,56.66864
20.855206,0.30681005,56.668488
20.826307,0.30673975,56.68968
20.818668,0.307564,56.68187
21.347235,0.26645738,56.714203
22.545218,0.17914711,56.81593
22.980663,0.14924003,56.855843
23.281622,0.12983102,56.883297
23.514547,0.11640348,56.904274
23.713669,0.10737049,56.92173
23.854599,0.10450199,56.933353
23.969147,0.106943555,56.941776
24.050392,0.11121612,56.947212
24.112345,0.11448171,56.951347
24.164629,0.11722845,56.95484
24.215588,0.12345821,56.937786
24.271818,0.12844758,56.895306
24.320635,0.13352366,56.860123
24.329195,0.1393078,56.83244
24.40562,0.1388973,56.842068
24.440458,0.13848816,56.857643
24.44149,0.1384892,56.857708
24.441845,0.13848972,56.857742
24.442074,0.13849014,56.857742
24.442228,0.1384906,56.857742
24.442228,0.13849102,56.85774
24.442228,0.13849144,56.857735
24.379974,0.12374982,56.953686
24.379974,0.12374998,56.953682
24.379974,0.123750344,56.95368
24.34418,0.123834066,56.95135
24.343107,0.12465835,56.93738
24.312857,0.12507756,56.952442
24.303097,0.12620682,56.936543
24.836826,0.12687851,56.9243
25.43338,0.13066284,56.924328
25.668222,0.1341419,56.925243
25.85217,0.13768205,56.92599
25.998419,0.14149679,56.92655
26.12732,0.1462577,56.92695
26.222166,0.1513847,56.927086
26.309467,0.15803759,56.927013
26.377092,0.16530088,56.926693
26.437225,0.17390688,56.926105
26.506462,0.1906625,56.904846
26.567575,0.20080036,56.857834
26.623194,0.20800434,56.82319
26.674582,0.21455231,56.79667
26.687344,0.22132489,56.76887
26.75755,0.22142911,56.794697
26.75968,0.22173522,56.794693
26.760124,0.22173564,56.79469
26.760422,0.2217359,56.79469
26.760647,0.22173627,56.794685
26.760818,0.22173652,56.794685
26.760887,0.22173679,56.79468
26.703798,0.20541276,56.89355
26.703798,0.20541291,56.89355
26.700195,0.20590135,56.890453
26.690046,0.20715268,56.881737
26.675034,0.20904492,56.868843
26.65641,0.2113338,56.852863
26.63511,0.21392794,56.834587
26.611822,0.21676618,56.814606
26.585096,0.21990965,56.791668
26.559772,0.22280897,56.769924
26.533508,0.22573872,56.74735
26.506554,0.22866856,56.724163
26.485054,0.230988,56.705654
26.45228,0.23452824,56.677444
26.469252,0.2354493,56.713646
26.476892,0.23795179,56.695877
26.475645,0.23896502,56.72493
26.492073,0.24073493,56.72183
26.472853,0.24148643,56.74665
26.41381,0.21478324,56.22575
26.321848,0.18454017,55.604523
26.285833,0.17440827,55.370995
26.257545,0.16720602,55.18814
26.235048,0.1625673,55.042805
26.216904,0.16018683,54.92525
26.202038,0.16000366,54.82826
26.18857,0.16195668,54.739296
26.178394,0.16595438,54.670647
26.170223,0.17044042,54.61473
26.20335,0.1780145,54.531387
26.224142,0.18394712,54.50303
26.257414,0.1887557,54.44951
26.27945,0.19352509,54.39583
26.216515,0.1925978,54.30453
26.184862,0.19238147,54.28468
26.150131,0.19211511,54.275204
26.114557,0.19186936,54.275417
26.114546,0.19186957,54.275345
26.114546,0.19186974,54.275345
26.114546,0.19186988,54.27534
26.114546,0.19187005,54.27534
26.114546,0.19187015,54.27534
26.120459,0.18153234,54.39004
26.120459,0.1815324,54.390038
26.120459,0.18153244,54.390038
